sum_num,count,example_input,input,result,result_emojis,model_output,model_input,expected,actual
0,2,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/2/0.py,input/triples_sum_to/2.txt,,
0,2,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/2/0.py,input/triples_sum_to/2.txt,,
0,2,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/2/0.py,input/triples_sum_to/2.txt,,
0,2,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/3/0.py,input/triples_sum_to/3.txt,,
0,2,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/3/0.py,input/triples_sum_to/3.txt,,
0,2,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/3/0.py,input/triples_sum_to/3.txt,,
0,2,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/3/0.py,input/triples_sum_to/3.txt,,
0,2,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/3/0.py,input/triples_sum_to/3.txt,,
0,3,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/4/0.py,input/triples_sum_to/4.txt,,
0,3,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/4/0.py,input/triples_sum_to/4.txt,,
0,3,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/4/0.py,input/triples_sum_to/4.txt,,
0,3,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/4/0.py,input/triples_sum_to/4.txt,,
0,3,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/4/0.py,input/triples_sum_to/4.txt,,
0,3,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/5/0.py,input/triples_sum_to/5.txt,,
0,3,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/5/0.py,input/triples_sum_to/5.txt,,
0,3,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/5/0.py,input/triples_sum_to/5.txt,,
0,3,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/5/0.py,input/triples_sum_to/5.txt,,
0,3,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/5/0.py,input/triples_sum_to/5.txt,,
0,3,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/6/0.py,input/triples_sum_to/6.txt,,
0,3,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/6/0.py,input/triples_sum_to/6.txt,,
0,3,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/6/0.py,input/triples_sum_to/6.txt,,
0,3,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/6/0.py,input/triples_sum_to/6.txt,,
0,3,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/6/0.py,input/triples_sum_to/6.txt,,
0,3,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/7/0.py,input/triples_sum_to/7.txt,,
0,3,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/7/0.py,input/triples_sum_to/7.txt,,
0,3,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/7/0.py,input/triples_sum_to/7.txt,,
0,3,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/7/0.py,input/triples_sum_to/7.txt,,
0,3,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/7/0.py,input/triples_sum_to/7.txt,,
0,4,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/8/0.py,input/triples_sum_to/8.txt,,
0,4,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/8/0.py,input/triples_sum_to/8.txt,,
0,4,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/8/0.py,input/triples_sum_to/8.txt,,
0,4,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/8/0.py,input/triples_sum_to/8.txt,,
0,4,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/8/0.py,input/triples_sum_to/8.txt,,
0,4,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/9/0.py,input/triples_sum_to/9.txt,,
0,4,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/9/0.py,input/triples_sum_to/9.txt,,
0,4,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/9/0.py,input/triples_sum_to/9.txt,,
0,4,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/9/0.py,input/triples_sum_to/9.txt,,
0,4,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/9/0.py,input/triples_sum_to/9.txt,,
0,4,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/10/0.py,input/triples_sum_to/10.txt,,
0,4,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/10/0.py,input/triples_sum_to/10.txt,,
0,4,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/10/0.py,input/triples_sum_to/10.txt,,
0,4,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/10/0.py,input/triples_sum_to/10.txt,,
0,4,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/10/0.py,input/triples_sum_to/10.txt,,
0,4,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/11/0.py,input/triples_sum_to/11.txt,,
0,4,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/11/0.py,input/triples_sum_to/11.txt,,
0,4,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/11/0.py,input/triples_sum_to/11.txt,,
0,4,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/11/0.py,input/triples_sum_to/11.txt,,
0,4,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/11/0.py,input/triples_sum_to/11.txt,,
0,5,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/12/0.py,input/triples_sum_to/12.txt,,
0,5,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/12/0.py,input/triples_sum_to/12.txt,,
0,5,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/12/0.py,input/triples_sum_to/12.txt,,
0,5,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",f,❌,outputs/triples_sum_to/12/0.py,input/triples_sum_to/12.txt,True,False
0,5,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",f,❌,outputs/triples_sum_to/12/0.py,input/triples_sum_to/12.txt,True,False
0,5,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/13/0.py,input/triples_sum_to/13.txt,,
0,5,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/13/0.py,input/triples_sum_to/13.txt,,
0,5,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/13/0.py,input/triples_sum_to/13.txt,,
0,5,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",f,❌,outputs/triples_sum_to/13/0.py,input/triples_sum_to/13.txt,True,False
0,5,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",f,❌,outputs/triples_sum_to/13/0.py,input/triples_sum_to/13.txt,True,False
0,5,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/14/0.py,input/triples_sum_to/14.txt,,
0,5,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/14/0.py,input/triples_sum_to/14.txt,,
0,5,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/14/0.py,input/triples_sum_to/14.txt,,
0,5,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/14/0.py,input/triples_sum_to/14.txt,,
0,5,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/14/0.py,input/triples_sum_to/14.txt,,
0,5,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/15/0.py,input/triples_sum_to/15.txt,,
0,5,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/15/0.py,input/triples_sum_to/15.txt,,
0,5,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/15/0.py,input/triples_sum_to/15.txt,,
0,5,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/15/0.py,input/triples_sum_to/15.txt,,
0,5,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/15/0.py,input/triples_sum_to/15.txt,,
1,2,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/16/0.py,input/triples_sum_to/16.txt,,
1,2,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/16/0.py,input/triples_sum_to/16.txt,,
1,2,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/16/0.py,input/triples_sum_to/16.txt,,
1,2,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/16/0.py,input/triples_sum_to/16.txt,,
1,2,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/16/0.py,input/triples_sum_to/16.txt,,
1,2,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/17/0.py,input/triples_sum_to/17.txt,,
1,2,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/17/0.py,input/triples_sum_to/17.txt,,
1,2,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/17/0.py,input/triples_sum_to/17.txt,,
1,2,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/17/0.py,input/triples_sum_to/17.txt,,
1,2,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/17/0.py,input/triples_sum_to/17.txt,,
1,2,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/18/0.py,input/triples_sum_to/18.txt,,
1,2,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/18/0.py,input/triples_sum_to/18.txt,,
1,2,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/18/0.py,input/triples_sum_to/18.txt,,
1,2,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/18/0.py,input/triples_sum_to/18.txt,,
1,2,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/18/0.py,input/triples_sum_to/18.txt,,
1,2,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/19/0.py,input/triples_sum_to/19.txt,,
1,2,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/19/0.py,input/triples_sum_to/19.txt,,
1,2,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/19/0.py,input/triples_sum_to/19.txt,,
1,2,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/19/0.py,input/triples_sum_to/19.txt,,
1,2,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/19/0.py,input/triples_sum_to/19.txt,,
1,3,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/20/0.py,input/triples_sum_to/20.txt,,
1,3,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/20/0.py,input/triples_sum_to/20.txt,,
1,3,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/20/0.py,input/triples_sum_to/20.txt,,
1,3,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/20/0.py,input/triples_sum_to/20.txt,,
1,3,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/20/0.py,input/triples_sum_to/20.txt,,
1,3,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/21/0.py,input/triples_sum_to/21.txt,,
1,3,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/21/0.py,input/triples_sum_to/21.txt,,
1,3,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/21/0.py,input/triples_sum_to/21.txt,,
1,3,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/21/0.py,input/triples_sum_to/21.txt,,
1,3,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/21/0.py,input/triples_sum_to/21.txt,,
1,3,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/22/0.py,input/triples_sum_to/22.txt,,
1,3,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/22/0.py,input/triples_sum_to/22.txt,,
1,3,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/22/0.py,input/triples_sum_to/22.txt,,
1,3,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/22/0.py,input/triples_sum_to/22.txt,,
1,3,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/22/0.py,input/triples_sum_to/22.txt,,
1,3,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/23/0.py,input/triples_sum_to/23.txt,,
1,3,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/23/0.py,input/triples_sum_to/23.txt,,
1,3,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/23/0.py,input/triples_sum_to/23.txt,,
1,3,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/23/0.py,input/triples_sum_to/23.txt,,
1,3,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/23/0.py,input/triples_sum_to/23.txt,,
1,4,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/24/0.py,input/triples_sum_to/24.txt,,
1,4,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/24/0.py,input/triples_sum_to/24.txt,,
1,4,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/24/0.py,input/triples_sum_to/24.txt,,
1,4,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/24/0.py,input/triples_sum_to/24.txt,,
1,4,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/24/0.py,input/triples_sum_to/24.txt,,
1,4,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/25/0.py,input/triples_sum_to/25.txt,,
1,4,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/25/0.py,input/triples_sum_to/25.txt,,
1,4,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/25/0.py,input/triples_sum_to/25.txt,,
1,4,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/25/0.py,input/triples_sum_to/25.txt,,
1,4,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/25/0.py,input/triples_sum_to/25.txt,,
1,4,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/26/0.py,input/triples_sum_to/26.txt,,
1,4,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/26/0.py,input/triples_sum_to/26.txt,,
1,4,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/26/0.py,input/triples_sum_to/26.txt,,
1,4,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/26/0.py,input/triples_sum_to/26.txt,,
1,4,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/26/0.py,input/triples_sum_to/26.txt,,
1,4,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/27/0.py,input/triples_sum_to/27.txt,,
1,4,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/27/0.py,input/triples_sum_to/27.txt,,
1,4,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/27/0.py,input/triples_sum_to/27.txt,,
1,4,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/27/0.py,input/triples_sum_to/27.txt,,
1,4,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/27/0.py,input/triples_sum_to/27.txt,,
1,5,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/28/0.py,input/triples_sum_to/28.txt,,
1,5,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/28/0.py,input/triples_sum_to/28.txt,,
1,5,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/28/0.py,input/triples_sum_to/28.txt,,
1,5,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/28/0.py,input/triples_sum_to/28.txt,,
1,5,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/28/0.py,input/triples_sum_to/28.txt,,
1,5,"[1, 3, -2, 1, 5, 8]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/29/0.py,input/triples_sum_to/29.txt,,
1,5,"[1, 3, -2, 1, 5, 8]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/29/0.py,input/triples_sum_to/29.txt,,
1,5,"[1, 3, -2, 1, 5, 8]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/29/0.py,input/triples_sum_to/29.txt,,
1,5,"[1, 3, -2, 1, 5, 8]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/29/0.py,input/triples_sum_to/29.txt,,
1,5,"[1, 3, -2, 1, 5, 8]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/29/0.py,input/triples_sum_to/29.txt,,
1,5,"[1, 2, -3, 7, 2, 7]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/30/0.py,input/triples_sum_to/30.txt,,
1,5,"[1, 2, -3, 7, 2, 7]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/30/0.py,input/triples_sum_to/30.txt,,
1,5,"[1, 2, -3, 7, 2, 7]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/30/0.py,input/triples_sum_to/30.txt,,
1,5,"[1, 2, -3, 7, 2, 7]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/30/0.py,input/triples_sum_to/30.txt,,
1,5,"[1, 2, -3, 7, 2, 7]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/30/0.py,input/triples_sum_to/30.txt,,
1,5,[1],"[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/31/0.py,input/triples_sum_to/31.txt,,
1,5,[1],"[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/31/0.py,input/triples_sum_to/31.txt,,
1,5,[1],"[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/31/0.py,input/triples_sum_to/31.txt,,
1,5,[1],"[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/31/0.py,input/triples_sum_to/31.txt,,
1,5,[1],"[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/31/0.py,input/triples_sum_to/31.txt,,
2,2,"[1, 3, 5, 0]","[[1, 3, 5, 0]]",p,✅,outputs/triples_sum_to/32/0.py,input/triples_sum_to/32.txt,,
2,2,"[1, 3, 5, 0]","[[2, 4, -5, 3, 9, 7]]",p,✅,outputs/triples_sum_to/32/0.py,input/triples_sum_to/32.txt,,
2,2,"[1, 3, 5, 0]","[[-1, -2, 3, 4, 5, 7, 8]]",p,✅,outputs/triples_sum_to/32/0.py,input/triples_sum_to/32.txt,,
2,2,"[1, 3, 5, 0]","[[-16, 1, 2, 3, 4, 5, 6, 8, 8]]",p,✅,outputs/triples_sum_to/32/0.py,input/triples_sum_to/32.txt,,
2,2,"[1, 3, 5, 0]","[[-100, 0, 2, 80, 20, 10, 10, 5, 5, 5, 5]]",p,✅,outputs/triples_sum_to/32/0.py,input/triples_sum_to/32.txt,,
