hash_type,transform,input,result,result_emojis,model_output,model_input
blake2b,uppercase,Hello world,e,💀,outputs/hash/19/0.py,input/hash/19.txt
blake2b,uppercase,A B C,e,💀,outputs/hash/19/0.py,input/hash/19.txt
blake2b,uppercase,password,e,💀,outputs/hash/19/0.py,input/hash/19.txt
blake2b,uppercase,,p,✅,outputs/hash/19/0.py,input/hash/19.txt
blake2b,dash,Hello world,e,💀,outputs/hash/20/0.py,input/hash/20.txt
blake2b,dash,A B C,e,💀,outputs/hash/20/0.py,input/hash/20.txt
blake2b,dash,password,e,💀,outputs/hash/20/0.py,input/hash/20.txt
blake2b,dash,,p,✅,outputs/hash/20/0.py,input/hash/20.txt
blake2s,none,Hello world,e,💀,outputs/hash/21/0.py,input/hash/21.txt
blake2s,none,A B C,e,💀,outputs/hash/21/0.py,input/hash/21.txt
blake2s,none,password,e,💀,outputs/hash/21/0.py,input/hash/21.txt
blake2s,none,,p,✅,outputs/hash/21/0.py,input/hash/21.txt
blake2s,uppercase,Hello world,e,💀,outputs/hash/22/0.py,input/hash/22.txt
blake2s,uppercase,A B C,e,💀,outputs/hash/22/0.py,input/hash/22.txt
blake2s,uppercase,password,e,💀,outputs/hash/22/0.py,input/hash/22.txt
blake2s,uppercase,,p,✅,outputs/hash/22/0.py,input/hash/22.txt
blake2s,dash,Hello world,e,💀,outputs/hash/23/0.py,input/hash/23.txt
blake2s,dash,A B C,e,💀,outputs/hash/23/0.py,input/hash/23.txt
blake2s,dash,password,e,💀,outputs/hash/23/0.py,input/hash/23.txt
blake2s,dash,,p,✅,outputs/hash/23/0.py,input/hash/23.txt
sha3_512,none,Hello world,p,✅,outputs/hash/24/0.py,input/hash/24.txt
sha3_512,none,A B C,p,✅,outputs/hash/24/0.py,input/hash/24.txt
sha3_512,none,password,p,✅,outputs/hash/24/0.py,input/hash/24.txt
sha3_512,none,,p,✅,outputs/hash/24/0.py,input/hash/24.txt
sha3_512,uppercase,Hello world,p,✅,outputs/hash/25/0.py,input/hash/25.txt
sha3_512,uppercase,A B C,p,✅,outputs/hash/25/0.py,input/hash/25.txt
sha3_512,uppercase,password,p,✅,outputs/hash/25/0.py,input/hash/25.txt
sha3_512,uppercase,,p,✅,outputs/hash/25/0.py,input/hash/25.txt
sha3_512,dash,Hello world,p,✅,outputs/hash/26/0.py,input/hash/26.txt
sha3_512,dash,A B C,p,✅,outputs/hash/26/0.py,input/hash/26.txt
sha3_512,dash,password,p,✅,outputs/hash/26/0.py,input/hash/26.txt
sha3_512,dash,,p,✅,outputs/hash/26/0.py,input/hash/26.txt
