example_below,factors,below,agg,input,expected,actual,result,result_emojis,model_output,model_input
10,"[3, 5]",1000,product,,'1693004290488731353360486909793608224710618797167165102688536639594899636916274876052411011602103971024874637346480439719569751667553421423378314538103551285325050887514212914678773529088028144095097270627111525928307568420401645311890228283435268330893369540492624357019695538645035284482578894479531439231674626044683167947931635605438277921583608648092716620754337808079966312584653050707390993196019648675671418215437336303916263734629371441084957162222951959731569253900798370375858908200481917503537443024401405962870346753282375536988606339066812546240190421145910856904876640567018250832846806216464799237595982161047695385260183031977660506175400976469004017880799968474628417891667185892029575874164897611333964220082828119016568847336463005354368061009872964678712575927589691353432261188741041917680153001035653032067229479075747990971658488694669298406656088999801689563326653722735984128947830024798905969978378532515137248780693173960704000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','233168',f,❌,outputs/multiples/13/0.py,input/multiples/13.txt
10,"[5, 3]",100,sum,,'2318','233168',f,❌,outputs/multiples/14/0.py,input/multiples/14.txt
10,"[5, 3]",100,product,,'13656259021130871772314533494945947941803211599380480000000000000000000000','233168',f,❌,outputs/multiples/15/0.py,input/multiples/15.txt
10,"[5, 3]",124,sum,,,,p,✅,outputs/multiples/16/0.py,input/multiples/16.txt
10,"[5, 3]",124,product,,'436652093530433389227012330623523772215735571595728047000696158945280000000000000000000000000000','3543',f,❌,outputs/multiples/17/0.py,input/multiples/17.txt
10,"[5, 3]",197,sum,,,,p,✅,outputs/multiples/18/0.py,input/multiples/18.txt
10,"[5, 3]",197,product,,'260111990530269730988881425813525079820541249422522021281533759889572815768749349230470883054030436004745181180119747028582400000000000000000000000000000000000000000000000','8970',f,❌,outputs/multiples/19/0.py,input/multiples/19.txt
10,"[5, 3]",200,sum,,,,p,✅,outputs/multiples/20/0.py,input/multiples/20.txt
10,"[5, 3]",200,product,,'51502174124993406735798522311077965804467167385659360213743684458135417522212371147633234844698026328939545873663709911659315200000000000000000000000000000000000000000000000','9168',f,❌,outputs/multiples/21/0.py,input/multiples/21.txt
10,"[5, 3]",500,sum,,,,p,✅,outputs/multiples/22/0.py,input/multiples/22.txt
10,"[5, 3]",500,product,,'37573854355116906426997805141054809452471881538008277192536541472100994869987783286748881219167009255041877601618645679340350655430519269237606935975820513934908618464403273482408276605451378875017935316492608841762326846482393293189894657703531569110868097874338805834125046860253265733188261491309211107697081812302827100729137452416871307869057302224832657119668936171627520734455117244698752126508072960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','57918',f,❌,outputs/multiples/23/0.py,input/multiples/23.txt
10,"[5, 3]",600,sum,,,,p,✅,outputs/multiples/24/0.py,input/multiples/24.txt
10,"[5, 3]",600,product,,'19475439662299527946856895868502796674477180367467103393547873546694892822840641270431093557474378112230074023623198619179098716088956020251721588669776520859086548374974288025947097446110153824780303014041676720750364120442370895513359809024718374978736658845087001389047308888153178787129519858070867293089600531851156048147529730147845462056975365502468535899323475151455568831455142982611510478503410300977329232938893347205590106898802546139373701512396027297917269443724082277487384487328939327819979161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','83700',f,❌,outputs/multiples/25/0.py,input/multiples/25.txt
10,"[5, 3]",1000,sum,,,,p,✅,outputs/multiples/26/0.py,input/multiples/26.txt
10,"[5, 3]",1000,product,,'1693004290488731353360486909793608224710618797167165102688536639594899636916274876052411011602103971024874637346480439719569751667553421423378314538103551285325050887514212914678773529088028144095097270627111525928307568420401645311890228283435268330893369540492624357019695538645035284482578894479531439231674626044683167947931635605438277921583608648092716620754337808079966312584653050707390993196019648675671418215437336303916263734629371441084957162222951959731569253900798370375858908200481917503537443024401405962870346753282375536988606339066812546240190421145910856904876640567018250832846806216464799237595982161047695385260183031977660506175400976469004017880799968474628417891667185892029575874164897611333964220082828119016568847336463005354368061009872964678712575927589691353432261188741041917680153001035653032067229479075747990971658488694669298406656088999801689563326653722735984128947830024798905969978378532515137248780693173960704000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','233168',f,❌,outputs/multiples/27/0.py,input/multiples/27.txt
10,"[2, 5]",100,sum,,,,p,✅,outputs/multiples/28/0.py,input/multiples/28.txt
10,"[2, 5]",100,product,,'2189456526805939100140269275539963626554435852846401011556865295400304640000000000000000000000','2950',f,❌,outputs/multiples/29/0.py,input/multiples/29.txt
10,"[2, 5]",124,sum,,,,p,✅,outputs/multiples/30/0.py,input/multiples/30.txt
10,"[2, 5]",124,product,,'90361458065835849780910298076352991038919843424633574040517674853821937108628165548577621278720000000000000000000000000000','4502',f,❌,outputs/multiples/31/0.py,input/multiples/31.txt
10,"[2, 5]",197,sum,,,,p,✅,outputs/multiples/32/0.py,input/multiples/32.txt
10,"[2, 5]",197,product,,'91123136492541520943054974837680963849128611215500498212101159245457074167186057988188245952816387108040000132887455434376563551141419963136558409811057522662045767227880243200000000000000000000000000000000000000000000000','11702',f,❌,outputs/multiples/33/0.py,input/multiples/33.txt
10,"[2, 5]",200,sum,,,,p,✅,outputs/multiples/34/0.py,input/multiples/34.txt
10,"[2, 5]",200,product,,'18042381025523221146724885017860830842127465020669098645996029530600500685102839481661272698657644647391920026311716176006559583126001152701038565142589389487085061911120288153600000000000000000000000000000000000000000000000','11900',f,❌,outputs/multiples/35/0.py,input/multiples/35.txt
10,"[2, 5]",500,sum,,,,p,✅,outputs/multiples/36/0.py,input/multiples/36.txt
10,"[2, 5]",500,product,,'2831682279094098365710087175367176568870039978275535791544865027458698385596162176079630365357545020779248492116116374001660043175995377630299699360734446753440318190975399265772024297364684833066837197686304216581383769452188020102527484294536296550483623504252922495660149293019561395547746516003519358799023135988401394683068190797200225752960781310947027335377117916847221924834654437055220293836905050283031301969945384545365978162010906709465279559124354960520979677964172041655284614796347268331020706793291034530981411244486743216392849688301435617280000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','74750',f,❌,outputs/multiples/37/0.py,input/multiples/37.txt
10,"[2, 5]",600,sum,,,,p,✅,outputs/multiples/38/0.py,input/multiples/38.txt
10,"[2, 5]",600,product,,'628448958358881870571912014217342863473016307097287331658057972184832445379740844823975685192224850788622400189926819663733157633546123002488014405507313389757805213558562403468484936821068346324882031558442544429841921078648805586551365786185295167869689254307014293150144625538544022638333807412798866127850472664277518752510467729462788768794835586208163287634361383785408161518786993178168144317828809820977977586973855793617923599460646382127942179339155914445013331873122822034053271898257697775465283115875263434175491920118433040683062101421165463718300794567231397355510700424163390363069554342643350912143880836818049745083441573930707780213259797012737204466379425295702425977447094681600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','107700',f,❌,outputs/multiples/39/0.py,input/multiples/39.txt
10,"[2, 5]",1000,sum,,,,p,✅,outputs/multiples/40/0.py,input/multiples/40.txt
10,"[2, 5]",1000,product,,'210035265285532072632055303163738241236185004859425115508287390878640068584586639680329020731251436115499114703254205632035155079541052751159287646254472739200193280398131280787842267607392713330825406994625320419860381008894784535621988793705172537888709885322402966283002962959759367438223988676412588407099642522599268963008793355905583877677422300609117049212798986608520554692372357601702497610586073271572205699741922921083277079336474896615033250444720015775994366135920455232835393929252431264573323911804208339641691295919806682864829302532314183948688778111507382375237850771112442547188921286133833791084899877302756521785588908465516684391863761955170259311899468720881488478454844579840796742705917815119523909178410005022300841345299791791366394618547676705490447466220070549434641500078743846412962679982269676185481266102255746266504536370643569079807830942999449167097494519693958935907023725588185888991664585738372114986414891661031051661287858739988508388008935103743773794882130909336567157446964452596895542611037310630118740435649153130696409986236753234224727324341321267781347485056188531567668372942530441806528418587128311861892316750229046361412079398558744843338411869825649654468561862518172540619669701912709510251737036772655213709999582816616385614193960681472000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','299500',f,❌,outputs/multiples/41/0.py,input/multiples/41.txt
10,"[2, 3, 5]",100,sum,,'3682','366832',f,❌,outputs/multiples/42/0.py,input/multiples/42.txt
10,"[2, 3, 5]",100,product,,'35368674398053675755125743495729953704688979753067569772594338994025651789090578993908725841920000000000000000000000','3682',f,❌,outputs/multiples/43/0.py,input/multiples/43.txt
10,"[2, 3, 5]",124,sum,,,,p,✅,outputs/multiples/44/0.py,input/multiples/44.txt
10,"[2, 3, 5]",124,product,,,,p,✅,outputs/multiples/45/0.py,input/multiples/45.txt
10,"[2, 3, 5]",197,sum,,,,p,✅,outputs/multiples/46/0.py,input/multiples/46.txt
10,"[2, 3, 5]",197,product,,'160111325149550079812502657185415192309480929843492230758999726911001637231363618613112594524673490284827204651510214517642421470024914735454513402421912218897268977323014077521138121463465047681616713728803182236196562534400000000000000000000000000000000000000000000000','14234',f,❌,outputs/multiples/47/0.py,input/multiples/47.txt
10,"[2, 3, 5]",200,sum,,,,p,✅,outputs/multiples/48/0.py,input/multiples/48.txt
10,"[2, 3, 5]",200,product,,'31702042379610915802875526122712208077277224109011461690281945928378324171809996485396293715885351076395786520999022474493199451064933117619993653679538619341659257509956787349185348049766079440960109318303030082766919381811200000000000000000000000000000000000000000000000','14432',f,❌,outputs/multiples/49/0.py,input/multiples/49.txt
10,"[2, 3, 5]",500,sum,,,,p,✅,outputs/multiples/50/0.py,input/multiples/50.txt
10,"[2, 3, 5]",500,product,,'427363461087833961241596123858407833517283442556174209653710109285060762426769092994848360936302603321808282423806747678994989451640897402418387646943650993358230148613149013271556089166860165073524685579293875054626134457429590871949694399162843457406860347352708458194319209512015593166083191076239187331846252725354140537856070803426460793885386820426940153529041336308108084612877527823459319194559055392857646212709951105195831585061786805220336944931788229253753882536931535418240346512083372700236974695798333273860297568624737109373057845233370562211229851552063845103491620316799153041256673649910403283422394807985494258604083817941470233026314582892268464791488208304785918156992907284099901685760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','91082',f,❌,outputs/multiples/51/0.py,input/multiples/51.txt
10,"[2, 3, 5]",600,sum,,,,p,✅,outputs/multiples/52/0.py,input/multiples/52.txt
10,"[2, 3, 5]",600,product,,'20301829798191899980697693241421236596123432832736586500321266787242151728570848870273455186383050239602050739472063436333477674685530691421129139094731165758425715913364726950529867679303975275886401212236564421509640839823683852473363609401104394612510579614338511963475448320464690812700928953914956583788489896702647956909991832219408801501427511413205911570897321897080972917434574357936870575422899873076258899560287341384777529380322927012836010486595726254204374357965968039305416359939952877704779332076446881247544311232144214304282889136950082803018532963298716225083219271435259865075433276051688977339970808999048403738323184818567883460747740383823430082222199839787193252298849149251624996923989278514213504564187479468472659232823180461564470964805534034188832344921087622447035389824545514382031568658965185900093617104430787080612536094525740403966559104075763915161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','131700',f,❌,outputs/multiples/53/0.py,input/multiples/53.txt
10,"[2, 3, 5]",1000,sum,,,,p,✅,outputs/multiples/54/0.py,input/multiples/54.txt
10,"[2, 3, 5]",1000,product,,'26074721841935124457924886036029158780621046789352255853674160286015607862618928237063541824840666575781708646137242426703101230687151605638408840323126949634042965413827400548612738332586447990485646714434454084069491415089016728005331267007664622467177291773493071531271000268426272821509384797448065059976410525971598281602487975613210186167348986926513700167097001212983058734296107134242014739805461347816804638971614660908020325461870264090900448135007502622157399808350083398057065090946364310885863150426963196116525188253939550385599211990775653067354615216085087700956264480017751020768466675411904309028327500767188130958256987748665068769273628577250062324386885550139125976033517524493558843704002861792801439099076685014026071157652927101050477109245675453783299398631566747072829508577270205604813337910387799088790689572596425420849322285689390243094838036007267517629211083978239366810629599530307206027178499326972190764148264057503938627075666711059100464410085424531793433796395982022166051187584473319552813223763763321745952342921635413112538905443832139407744971214580293501019361121108649956308352375825833017483017277724231026940437678740805438716145732289797246175484483375015416607910850094036912250398630490087041017745265432900311609431411444790073769980277926601531812007554453842017939539275062789000653251833683636116739641704874722590432071403478415404333983594497575582080237563070939987892316982091231314566210741546285117148916908723026526078484809063213104209560894445530805154337846331739341387356758703884583111430685777347811887760824441628907929131933239422770265779517346511667602903442617532416000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','366832',f,❌,outputs/multiples/55/0.py,input/multiples/55.txt
10,"[5, 3, 2]",100,sum,,,,p,✅,outputs/multiples/56/0.py,input/multiples/56.txt
10,"[5, 3, 2]",100,product,,'35368674398053675755125743495729953704688979753067569772594338994025651789090578993908725841920000000000000000000000','3682',f,❌,outputs/multiples/57/0.py,input/multiples/57.txt
10,"[5, 3, 2]",124,sum,,,,p,✅,outputs/multiples/58/0.py,input/multiples/58.txt
10,"[5, 3, 2]",124,product,,'2331737399684742900999248666100229426149809579344201891843214653656287346230263521075120693313116614598852813963911139164160000000000000000000000000000','5585',f,❌,outputs/multiples/59/0.py,input/multiples/59.txt
10,"[5, 3, 2]",197,sum,,,,p,✅,outputs/multiples/60/0.py,input/multiples/60.txt
10,"[5, 3, 2]",197,product,,'160111325149550079812502657185415192309480929843492230758999726911001637231363618613112594524673490284827204651510214517642421470024914735454513402421912218897268977323014077521138121463465047681616713728803182236196562534400000000000000000000000000000000000000000000000','14234',f,❌,outputs/multiples/61/0.py,input/multiples/61.txt
10,"[5, 3, 2]",200,sum,,,,p,✅,outputs/multiples/62/0.py,input/multiples/62.txt
10,"[5, 3, 2]",200,product,,'31702042379610915802875526122712208077277224109011461690281945928378324171809996485396293715885351076395786520999022474493199451064933117619993653679538619341659257509956787349185348049766079440960109318303030082766919381811200000000000000000000000000000000000000000000000','14432',f,❌,outputs/multiples/63/0.py,input/multiples/63.txt
10,"[5, 3, 2]",500,sum,,,,p,✅,outputs/multiples/64/0.py,input/multiples/64.txt
10,"[5, 3, 2]",500,product,,'427363461087833961241596123858407833517283442556174209653710109285060762426769092994848360936302603321808282423806747678994989451640897402418387646943650993358230148613149013271556089166860165073524685579293875054626134457429590871949694399162843457406860347352708458194319209512015593166083191076239187331846252725354140537856070803426460793885386820426940153529041336308108084612877527823459319194559055392857646212709951105195831585061786805220336944931788229253753882536931535418240346512083372700236974695798333273860297568624737109373057845233370562211229851552063845103491620316799153041256673649910403283422394807985494258604083817941470233026314582892268464791488208304785918156992907284099901685760000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','91082',f,❌,outputs/multiples/65/0.py,input/multiples/65.txt
10,"[5, 3, 2]",600,sum,,,,p,✅,outputs/multiples/66/0.py,input/multiples/66.txt
10,"[5, 3, 2]",600,product,,'20301829798191899980697693241421236596123432832736586500321266787242151728570848870273455186383050239602050739472063436333477674685530691421129139094731165758425715913364726950529867679303975275886401212236564421509640839823683852473363609401104394612510579614338511963475448320464690812700928953914956583788489896702647956909991832219408801501427511413205911570897321897080972917434574357936870575422899873076258899560287341384777529380322927012836010486595726254204374357965968039305416359939952877704779332076446881247544311232144214304282889136950082803018532963298716225083219271435259865075433276051688977339970808999048403738323184818567883460747740383823430082222199839787193252298849149251624996923989278514213504564187479468472659232823180461564470964805534034188832344921087622447035389824545514382031568658965185900093617104430787080612536094525740403966559104075763915161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','131700',f,❌,outputs/multiples/67/0.py,input/multiples/67.txt
10,"[5, 3, 2]",1000,sum,,,,p,✅,outputs/multiples/68/0.py,input/multiples/68.txt
10,"[5, 3, 2]",1000,product,,'26074721841935124457924886036029158780621046789352255853674160286015607862618928237063541824840666575781708646137242426703101230687151605638408840323126949634042965413827400548612738332586447990485646714434454084069491415089016728005331267007664622467177291773493071531271000268426272821509384797448065059976410525971598281602487975613210186167348986926513700167097001212983058734296107134242014739805461347816804638971614660908020325461870264090900448135007502622157399808350083398057065090946364310885863150426963196116525188253939550385599211990775653067354615216085087700956264480017751020768466675411904309028327500767188130958256987748665068769273628577250062324386885550139125976033517524493558843704002861792801439099076685014026071157652927101050477109245675453783299398631566747072829508577270205604813337910387799088790689572596425420849322285689390243094838036007267517629211083978239366810629599530307206027178499326972190764148264057503938627075666711059100464410085424531793433796395982022166051187584473319552813223763763321745952342921635413112538905443832139407744971214580293501019361121108649956308352375825833017483017277724231026940437678740805438716145732289797246175484483375015416607910850094036912250398630490087041017745265432900311609431411444790073769980277926601531812007554453842017939539275062789000653251833683636116739641704874722590432071403478415404333983594497575582080237563070939987892316982091231314566210741546285117148916908723026526078484809063213104209560894445530805154337846331739341387356758703884583111430685777347811887760824441628907929131933239422770265779517346511667602903442617532416000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','366832',f,❌,outputs/multiples/69/0.py,input/multiples/69.txt
10,"[5, 7, 9]",100,sum,,,,p,✅,outputs/multiples/84/0.py,input/multiples/84.txt
10,"[5, 7, 9]",100,product,,,,p,✅,outputs/multiples/85/0.py,input/multiples/85.txt
10,"[5, 7, 9]",124,sum,,,,p,✅,outputs/multiples/86/0.py,input/multiples/86.txt
10,"[5, 7, 9]",124,product,,,,p,✅,outputs/multiples/87/0.py,input/multiples/87.txt
10,"[5, 7, 9]",197,sum,,,,p,✅,outputs/multiples/88/0.py,input/multiples/88.txt
10,"[5, 7, 9]",197,product,,,,p,✅,outputs/multiples/89/0.py,input/multiples/89.txt
10,"[5, 7, 9]",200,sum,,,,p,✅,outputs/multiples/90/0.py,input/multiples/90.txt
10,"[5, 7, 9]",200,product,,,,e,💀,outputs/multiples/91/0.py,input/multiples/91.txt
10,"[5, 7, 9]",500,sum,,,,p,✅,outputs/multiples/92/0.py,input/multiples/92.txt
10,"[5, 7, 9]",500,product,,,,e,💀,outputs/multiples/93/0.py,input/multiples/93.txt
10,"[5, 7, 9]",600,sum,,,,p,✅,outputs/multiples/94/0.py,input/multiples/94.txt
10,"[5, 7, 9]",600,product,,,,p,✅,outputs/multiples/95/0.py,input/multiples/95.txt
10,"[5, 7, 9]",1000,sum,,,,p,✅,outputs/multiples/96/0.py,input/multiples/96.txt
10,"[5, 7, 9]",1000,product,,,,e,💀,outputs/multiples/97/0.py,input/multiples/97.txt
10,"[2, 9]",100,sum,,,,p,✅,outputs/multiples/98/0.py,input/multiples/98.txt
10,"[2, 9]",100,product,,,,p,✅,outputs/multiples/99/0.py,input/multiples/99.txt
10,"[2, 9]",124,sum,,,,p,✅,outputs/multiples/100/0.py,input/multiples/100.txt
10,"[2, 9]",124,product,,,,p,✅,outputs/multiples/101/0.py,input/multiples/101.txt
10,"[2, 9]",197,sum,,,,p,✅,outputs/multiples/102/0.py,input/multiples/102.txt
10,"[2, 9]",197,product,,,,p,✅,outputs/multiples/103/0.py,input/multiples/103.txt
10,"[2, 9]",200,sum,,,,p,✅,outputs/multiples/104/0.py,input/multiples/104.txt
10,"[2, 9]",200,product,,,,p,✅,outputs/multiples/105/0.py,input/multiples/105.txt
10,"[2, 9]",500,sum,,,,p,✅,outputs/multiples/106/0.py,input/multiples/106.txt
10,"[2, 9]",500,product,,,,p,✅,outputs/multiples/107/0.py,input/multiples/107.txt
10,"[2, 9]",600,sum,,,,p,✅,outputs/multiples/108/0.py,input/multiples/108.txt
10,"[2, 9]",600,product,,,,p,✅,outputs/multiples/109/0.py,input/multiples/109.txt
10,"[2, 9]",1000,sum,,,,p,✅,outputs/multiples/110/0.py,input/multiples/110.txt
10,"[2, 9]",1000,product,,,,e,💀,outputs/multiples/111/0.py,input/multiples/111.txt
15,"[3, 5]",100,sum,,'2318','233168',f,❌,outputs/multiples/112/0.py,input/multiples/112.txt
15,"[3, 5]",100,product,,'13656259021130871772314533494945947941803211599380480000000000000000000000','233168',f,❌,outputs/multiples/113/0.py,input/multiples/113.txt
15,"[3, 5]",124,sum,,,,p,✅,outputs/multiples/114/0.py,input/multiples/114.txt
15,"[3, 5]",124,product,,'436652093530433389227012330623523772215735571595728047000696158945280000000000000000000000000000','3543',f,❌,outputs/multiples/115/0.py,input/multiples/115.txt
15,"[3, 5]",197,sum,,,,p,✅,outputs/multiples/116/0.py,input/multiples/116.txt
15,"[3, 5]",197,product,,'260111990530269730988881425813525079820541249422522021281533759889572815768749349230470883054030436004745181180119747028582400000000000000000000000000000000000000000000000','8970',f,❌,outputs/multiples/117/0.py,input/multiples/117.txt
15,"[3, 5]",200,sum,,,,p,✅,outputs/multiples/118/0.py,input/multiples/118.txt
15,"[3, 5]",200,product,,'51502174124993406735798522311077965804467167385659360213743684458135417522212371147633234844698026328939545873663709911659315200000000000000000000000000000000000000000000000','9168',f,❌,outputs/multiples/119/0.py,input/multiples/119.txt
15,"[3, 5]",500,sum,,,,p,✅,outputs/multiples/120/0.py,input/multiples/120.txt
15,"[3, 5]",500,product,,'37573854355116906426997805141054809452471881538008277192536541472100994869987783286748881219167009255041877601618645679340350655430519269237606935975820513934908618464403273482408276605451378875017935316492608841762326846482393293189894657703531569110868097874338805834125046860253265733188261491309211107697081812302827100729137452416871307869057302224832657119668936171627520734455117244698752126508072960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','57918',f,❌,outputs/multiples/121/0.py,input/multiples/121.txt
15,"[3, 5]",600,sum,,,,p,✅,outputs/multiples/122/0.py,input/multiples/122.txt
15,"[3, 5]",600,product,,'19475439662299527946856895868502796674477180367467103393547873546694892822840641270431093557474378112230074023623198619179098716088956020251721588669776520859086548374974288025947097446110153824780303014041676720750364120442370895513359809024718374978736658845087001389047308888153178787129519858070867293089600531851156048147529730147845462056975365502468535899323475151455568831455142982611510478503410300977329232938893347205590106898802546139373701512396027297917269443724082277487384487328939327819979161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','83700',f,❌,outputs/multiples/123/0.py,input/multiples/123.txt
15,"[3, 5]",1000,sum,,,,p,✅,outputs/multiples/124/0.py,input/multiples/124.txt
15,"[3, 5]",1000,product,,'1693004290488731353360486909793608224710618797167165102688536639594899636916274876052411011602103971024874637346480439719569751667553421423378314538103551285325050887514212914678773529088028144095097270627111525928307568420401645311890228283435268330893369540492624357019695538645035284482578894479531439231674626044683167947931635605438277921583608648092716620754337808079966312584653050707390993196019648675671418215437336303916263734629371441084957162222951959731569253900798370375858908200481917503537443024401405962870346753282375536988606339066812546240190421145910856904876640567018250832846806216464799237595982161047695385260183031977660506175400976469004017880799968474628417891667185892029575874164897611333964220082828119016568847336463005354368061009872964678712575927589691353432261188741041917680153001035653032067229479075747990971658488694669298406656088999801689563326653722735984128947830024798905969978378532515137248780693173960704000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','233168',f,❌,outputs/multiples/125/0.py,input/multiples/125.txt
15,"[5, 3]",100,sum,,'2318','233168',f,❌,outputs/multiples/126/0.py,input/multiples/126.txt
15,"[5, 3]",100,product,,'13656259021130871772314533494945947941803211599380480000000000000000000000','233168',f,❌,outputs/multiples/127/0.py,input/multiples/127.txt
15,"[5, 3]",124,sum,,,,p,✅,outputs/multiples/128/0.py,input/multiples/128.txt
15,"[5, 3]",124,product,,'436652093530433389227012330623523772215735571595728047000696158945280000000000000000000000000000','3543',f,❌,outputs/multiples/129/0.py,input/multiples/129.txt
15,"[5, 3]",197,sum,,,,p,✅,outputs/multiples/130/0.py,input/multiples/130.txt
15,"[5, 3]",197,product,,'260111990530269730988881425813525079820541249422522021281533759889572815768749349230470883054030436004745181180119747028582400000000000000000000000000000000000000000000000','8970',f,❌,outputs/multiples/131/0.py,input/multiples/131.txt
15,"[5, 3]",200,sum,,,,p,✅,outputs/multiples/132/0.py,input/multiples/132.txt
15,"[5, 3]",200,product,,'51502174124993406735798522311077965804467167385659360213743684458135417522212371147633234844698026328939545873663709911659315200000000000000000000000000000000000000000000000','9168',f,❌,outputs/multiples/133/0.py,input/multiples/133.txt
15,"[5, 3]",500,sum,,,,p,✅,outputs/multiples/134/0.py,input/multiples/134.txt
15,"[5, 3]",500,product,,'37573854355116906426997805141054809452471881538008277192536541472100994869987783286748881219167009255041877601618645679340350655430519269237606935975820513934908618464403273482408276605451378875017935316492608841762326846482393293189894657703531569110868097874338805834125046860253265733188261491309211107697081812302827100729137452416871307869057302224832657119668936171627520734455117244698752126508072960000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','57918',f,❌,outputs/multiples/135/0.py,input/multiples/135.txt
15,"[5, 3]",600,sum,,,,p,✅,outputs/multiples/136/0.py,input/multiples/136.txt
15,"[5, 3]",600,product,,'19475439662299527946856895868502796674477180367467103393547873546694892822840641270431093557474378112230074023623198619179098716088956020251721588669776520859086548374974288025947097446110153824780303014041676720750364120442370895513359809024718374978736658845087001389047308888153178787129519858070867293089600531851156048147529730147845462056975365502468535899323475151455568831455142982611510478503410300977329232938893347205590106898802546139373701512396027297917269443724082277487384487328939327819979161600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000','83700',f,❌,outputs/multiples/137/0.py,input/multiples/137.txt
