var1_name,var2_name,line_order1,line_order2,line_order3,op1,op2,op3,input,result,result_emojis,model_output,model_input,expected,actual
a,b,first,second,third,product,difference,sum,"[3, 5]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[7, 10]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[0, 0]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[1, 0]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[0, 1]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,second,third,product,difference,sum,"[100, 20]",p,✅,outputs/arithmetic/885/0.py,input/arithmetic/885.txt,,
a,b,first,third,second,sum,difference,product,"[3, 5]",f,❌,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,'8\n15\n-2','8\n-2\n15'
a,b,first,third,second,sum,difference,product,"[7, 10]",f,❌,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,'17\n70\n-3','17\n-3\n70'
a,b,first,third,second,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,,
a,b,first,third,second,sum,difference,product,"[1, 0]",f,❌,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,'1\n0\n1','1\n1\n0'
a,b,first,third,second,sum,difference,product,"[0, 1]",f,❌,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,'1\n0\n-1','1\n-1\n0'
a,b,first,third,second,sum,difference,product,"[100, 20]",f,❌,outputs/arithmetic/923/0.py,input/arithmetic/923.txt,'120\n2000\n80','120\n80\n2000'
a,b,first,third,second,sum,product,difference,"[3, 5]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[7, 10]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[1, 0]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[0, 1]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,sum,product,difference,"[100, 20]",p,✅,outputs/arithmetic/925/0.py,input/arithmetic/925.txt,,
a,b,first,third,second,difference,sum,product,"[3, 5]",f,❌,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,'-2\n15\n8','-2\n8\n15'
a,b,first,third,second,difference,sum,product,"[7, 10]",f,❌,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,'-3\n70\n17','-3\n17\n70'
a,b,first,third,second,difference,sum,product,"[0, 0]",p,✅,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,,
a,b,first,third,second,difference,sum,product,"[1, 0]",f,❌,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,'1\n0\n1','1\n1\n0'
a,b,first,third,second,difference,sum,product,"[0, 1]",f,❌,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,'-1\n0\n1','-1\n1\n0'
a,b,first,third,second,difference,sum,product,"[100, 20]",f,❌,outputs/arithmetic/929/0.py,input/arithmetic/929.txt,'80\n2000\n120','80\n120\n2000'
a,b,first,third,second,difference,product,sum,"[3, 5]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[7, 10]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[0, 0]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[1, 0]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[0, 1]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,difference,product,sum,"[100, 20]",p,✅,outputs/arithmetic/933/0.py,input/arithmetic/933.txt,,
a,b,first,third,second,product,sum,difference,"[3, 5]",f,❌,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,'15\n-2\n8','8\n-2\n15'
a,b,first,third,second,product,sum,difference,"[7, 10]",f,❌,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,'70\n-3\n17','17\n-3\n70'
a,b,first,third,second,product,sum,difference,"[0, 0]",p,✅,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,,
a,b,first,third,second,product,sum,difference,"[1, 0]",f,❌,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,'0\n1\n1','1\n1\n0'
a,b,first,third,second,product,sum,difference,"[0, 1]",f,❌,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,'0\n-1\n1','1\n-1\n0'
a,b,first,third,second,product,sum,difference,"[100, 20]",f,❌,outputs/arithmetic/937/0.py,input/arithmetic/937.txt,'2000\n80\n120','120\n80\n2000'
a,b,first,third,second,product,difference,sum,"[3, 5]",f,❌,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,'15\n8\n-2','8\n-2\n15'
a,b,first,third,second,product,difference,sum,"[7, 10]",f,❌,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,'70\n17\n-3','17\n-3\n70'
a,b,first,third,second,product,difference,sum,"[0, 0]",p,✅,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,,
a,b,first,third,second,product,difference,sum,"[1, 0]",f,❌,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,'0\n1\n1','1\n1\n0'
a,b,first,third,second,product,difference,sum,"[0, 1]",f,❌,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,'0\n1\n-1','1\n-1\n0'
a,b,first,third,second,product,difference,sum,"[100, 20]",f,❌,outputs/arithmetic/939/0.py,input/arithmetic/939.txt,'2000\n120\n80','120\n80\n2000'
a,b,second,first,third,sum,difference,product,"[3, 5]",f,❌,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,'-2\n8\n15','8\n-2\n15'
a,b,second,first,third,sum,difference,product,"[7, 10]",f,❌,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,'-3\n17\n70','17\n-3\n70'
a,b,second,first,third,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,,
a,b,second,first,third,sum,difference,product,"[1, 0]",p,✅,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,,
a,b,second,first,third,sum,difference,product,"[0, 1]",f,❌,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,'-1\n1\n0','1\n-1\n0'
a,b,second,first,third,sum,difference,product,"[100, 20]",f,❌,outputs/arithmetic/1031/0.py,input/arithmetic/1031.txt,'80\n120\n2000','120\n80\n2000'
a,b,second,first,third,sum,product,difference,"[3, 5]",f,❌,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,'15\n8\n-2','8\n15\n-2'
a,b,second,first,third,sum,product,difference,"[7, 10]",f,❌,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,'70\n17\n-3','17\n70\n-3'
a,b,second,first,third,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,,
a,b,second,first,third,sum,product,difference,"[1, 0]",f,❌,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,'0\n1\n1','1\n0\n1'
a,b,second,first,third,sum,product,difference,"[0, 1]",f,❌,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,'0\n1\n-1','1\n0\n-1'
a,b,second,first,third,sum,product,difference,"[100, 20]",f,❌,outputs/arithmetic/1033/0.py,input/arithmetic/1033.txt,'2000\n120\n80','120\n2000\n80'
a,b,second,first,third,difference,sum,product,"[3, 5]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,sum,product,"[7, 10]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,sum,product,"[0, 0]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,sum,product,"[1, 0]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,sum,product,"[0, 1]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,sum,product,"[100, 20]",p,✅,outputs/arithmetic/1037/0.py,input/arithmetic/1037.txt,,
a,b,second,first,third,difference,product,sum,"[3, 5]",f,❌,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,'15\n-2\n8','8\n-2\n15'
a,b,second,first,third,difference,product,sum,"[7, 10]",f,❌,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,'70\n-3\n17','17\n-3\n70'
a,b,second,first,third,difference,product,sum,"[0, 0]",p,✅,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,,
a,b,second,first,third,difference,product,sum,"[1, 0]",f,❌,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,'0\n1\n1','1\n1\n0'
a,b,second,first,third,difference,product,sum,"[0, 1]",f,❌,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,'0\n-1\n1','1\n-1\n0'
a,b,second,first,third,difference,product,sum,"[100, 20]",f,❌,outputs/arithmetic/1041/0.py,input/arithmetic/1041.txt,'2000\n80\n120','120\n80\n2000'
a,b,second,first,third,product,sum,difference,"[3, 5]",f,❌,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,'8\n15\n-2','8\n-2\n15'
a,b,second,first,third,product,sum,difference,"[7, 10]",f,❌,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,'17\n70\n-3','17\n-3\n70'
a,b,second,first,third,product,sum,difference,"[0, 0]",p,✅,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,,
a,b,second,first,third,product,sum,difference,"[1, 0]",f,❌,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,'1\n0\n1','1\n1\n0'
a,b,second,first,third,product,sum,difference,"[0, 1]",f,❌,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,'1\n0\n-1','1\n-1\n0'
a,b,second,first,third,product,sum,difference,"[100, 20]",f,❌,outputs/arithmetic/1045/0.py,input/arithmetic/1045.txt,'120\n2000\n80','120\n80\n2000'
a,b,second,first,third,product,difference,sum,"[3, 5]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,first,third,product,difference,sum,"[7, 10]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,first,third,product,difference,sum,"[0, 0]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,first,third,product,difference,sum,"[1, 0]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,first,third,product,difference,sum,"[0, 1]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,first,third,product,difference,sum,"[100, 20]",p,✅,outputs/arithmetic/1047/0.py,input/arithmetic/1047.txt,,
a,b,second,third,first,sum,difference,product,"[3, 5]",f,❌,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,'15\n8\n-2','8\n-2\n15'
a,b,second,third,first,sum,difference,product,"[7, 10]",f,❌,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,'70\n17\n-3','17\n-3\n70'
a,b,second,third,first,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,,
a,b,second,third,first,sum,difference,product,"[1, 0]",f,❌,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,'0\n1\n1','1\n1\n0'
a,b,second,third,first,sum,difference,product,"[0, 1]",f,❌,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,'0\n1\n-1','1\n-1\n0'
a,b,second,third,first,sum,difference,product,"[100, 20]",f,❌,outputs/arithmetic/1139/0.py,input/arithmetic/1139.txt,'2000\n120\n80','120\n80\n2000'
a,b,second,third,first,sum,product,difference,"[3, 5]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,sum,product,difference,"[7, 10]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,sum,product,difference,"[1, 0]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,sum,product,difference,"[0, 1]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,sum,product,difference,"[100, 20]",p,✅,outputs/arithmetic/1141/0.py,input/arithmetic/1141.txt,,
a,b,second,third,first,difference,sum,product,"[3, 5]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,sum,product,"[7, 10]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,sum,product,"[0, 0]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,sum,product,"[1, 0]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,sum,product,"[0, 1]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,sum,product,"[100, 20]",p,✅,outputs/arithmetic/1145/0.py,input/arithmetic/1145.txt,,
a,b,second,third,first,difference,product,sum,"[3, 5]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,difference,product,sum,"[7, 10]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,difference,product,sum,"[0, 0]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,difference,product,sum,"[1, 0]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,difference,product,sum,"[0, 1]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,difference,product,sum,"[100, 20]",p,✅,outputs/arithmetic/1149/0.py,input/arithmetic/1149.txt,,
a,b,second,third,first,product,sum,difference,"[3, 5]",f,❌,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,'-2\n15\n8','-2\n8\n15'
a,b,second,third,first,product,sum,difference,"[7, 10]",f,❌,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,'-3\n70\n17','-3\n17\n70'
a,b,second,third,first,product,sum,difference,"[0, 0]",p,✅,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,,
a,b,second,third,first,product,sum,difference,"[1, 0]",f,❌,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,'1\n0\n1','1\n1\n0'
a,b,second,third,first,product,sum,difference,"[0, 1]",f,❌,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,'-1\n0\n1','-1\n1\n0'
a,b,second,third,first,product,sum,difference,"[100, 20]",f,❌,outputs/arithmetic/1153/0.py,input/arithmetic/1153.txt,'80\n2000\n120','80\n120\n2000'
a,b,second,third,first,product,difference,sum,"[3, 5]",f,❌,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,'8\n15\n-2','8\n-2\n15'
a,b,second,third,first,product,difference,sum,"[7, 10]",f,❌,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,'17\n70\n-3','17\n-3\n70'
a,b,second,third,first,product,difference,sum,"[0, 0]",p,✅,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,,
a,b,second,third,first,product,difference,sum,"[1, 0]",f,❌,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,'1\n0\n1','1\n1\n0'
a,b,second,third,first,product,difference,sum,"[0, 1]",f,❌,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,'1\n0\n-1','1\n-1\n0'
a,b,second,third,first,product,difference,sum,"[100, 20]",f,❌,outputs/arithmetic/1155/0.py,input/arithmetic/1155.txt,'120\n2000\n80','120\n80\n2000'
a,b,third,first,second,sum,difference,product,"[3, 5]",f,❌,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,'-2\n15\n8','8\n-2\n15'
a,b,third,first,second,sum,difference,product,"[7, 10]",f,❌,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,'-3\n70\n17','17\n-3\n70'
a,b,third,first,second,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,,
a,b,third,first,second,sum,difference,product,"[1, 0]",f,❌,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,'1\n0\n1','1\n1\n0'
a,b,third,first,second,sum,difference,product,"[0, 1]",f,❌,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,'-1\n0\n1','1\n-1\n0'
a,b,third,first,second,sum,difference,product,"[100, 20]",f,❌,outputs/arithmetic/1247/0.py,input/arithmetic/1247.txt,'80\n2000\n120','120\n80\n2000'
a,b,third,first,second,sum,product,difference,"[3, 5]",f,❌,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,'15\n-2\n8','8\n-2\n15'
a,b,third,first,second,sum,product,difference,"[7, 10]",f,❌,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,'70\n-3\n17','17\n-3\n70'
a,b,third,first,second,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,,
a,b,third,first,second,sum,product,difference,"[1, 0]",f,❌,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,'0\n1\n1','1\n1\n0'
a,b,third,first,second,sum,product,difference,"[0, 1]",f,❌,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,'0\n-1\n1','1\n-1\n0'
a,b,third,first,second,sum,product,difference,"[100, 20]",f,❌,outputs/arithmetic/1249/0.py,input/arithmetic/1249.txt,'2000\n80\n120','120\n80\n2000'
a,b,third,first,second,difference,sum,product,"[3, 5]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'8\n15\n-2','8\n15'
a,b,third,first,second,difference,sum,product,"[7, 10]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'17\n70\n-3','17\n70'
a,b,third,first,second,difference,sum,product,"[0, 0]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'0\n0\n0','0\n0'
a,b,third,first,second,difference,sum,product,"[1, 0]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'1\n0\n1','1\n0'
a,b,third,first,second,difference,sum,product,"[0, 1]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'1\n0\n-1','1\n0'
a,b,third,first,second,difference,sum,product,"[100, 20]",f,❌,outputs/arithmetic/1253/0.py,input/arithmetic/1253.txt,'120\n2000\n80','120\n2000'
a,b,third,first,second,difference,product,sum,"[3, 5]",f,❌,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,'15\n8\n-2','8\n-2\n15'
a,b,third,first,second,difference,product,sum,"[7, 10]",f,❌,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,'70\n17\n-3','17\n-3\n70'
a,b,third,first,second,difference,product,sum,"[0, 0]",p,✅,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,,
a,b,third,first,second,difference,product,sum,"[1, 0]",f,❌,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,'0\n1\n1','1\n1\n0'
a,b,third,first,second,difference,product,sum,"[0, 1]",f,❌,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,'0\n1\n-1','1\n-1\n0'
a,b,third,first,second,difference,product,sum,"[100, 20]",f,❌,outputs/arithmetic/1257/0.py,input/arithmetic/1257.txt,'2000\n120\n80','120\n80\n2000'
a,b,third,first,second,product,sum,difference,"[3, 5]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,sum,difference,"[7, 10]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,sum,difference,"[0, 0]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,sum,difference,"[1, 0]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,sum,difference,"[0, 1]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,sum,difference,"[100, 20]",p,✅,outputs/arithmetic/1261/0.py,input/arithmetic/1261.txt,,
a,b,third,first,second,product,difference,sum,"[3, 5]",f,❌,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,'-2\n8\n15','8\n-2\n15'
a,b,third,first,second,product,difference,sum,"[7, 10]",f,❌,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,'-3\n17\n70','17\n-3\n70'
a,b,third,first,second,product,difference,sum,"[0, 0]",p,✅,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,,
a,b,third,first,second,product,difference,sum,"[1, 0]",p,✅,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,,
a,b,third,first,second,product,difference,sum,"[0, 1]",f,❌,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,'-1\n1\n0','1\n-1\n0'
a,b,third,first,second,product,difference,sum,"[100, 20]",f,❌,outputs/arithmetic/1263/0.py,input/arithmetic/1263.txt,'80\n120\n2000','120\n80\n2000'
a,b,third,second,first,sum,difference,product,"[3, 5]",f,❌,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,'15\n-2\n8','8\n-2\n15'
a,b,third,second,first,sum,difference,product,"[7, 10]",f,❌,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,'70\n-3\n17','17\n-3\n70'
a,b,third,second,first,sum,difference,product,"[0, 0]",p,✅,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,,
a,b,third,second,first,sum,difference,product,"[1, 0]",f,❌,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,'0\n1\n1','1\n1\n0'
a,b,third,second,first,sum,difference,product,"[0, 1]",f,❌,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,'0\n-1\n1','1\n-1\n0'
a,b,third,second,first,sum,difference,product,"[100, 20]",f,❌,outputs/arithmetic/1301/0.py,input/arithmetic/1301.txt,'2000\n80\n120','120\n80\n2000'
a,b,third,second,first,sum,product,difference,"[3, 5]",f,❌,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,'-2\n15\n8','8\n-2\n15'
a,b,third,second,first,sum,product,difference,"[7, 10]",f,❌,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,'-3\n70\n17','17\n-3\n70'
a,b,third,second,first,sum,product,difference,"[0, 0]",p,✅,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,,
a,b,third,second,first,sum,product,difference,"[1, 0]",f,❌,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,'1\n0\n1','1\n1\n0'
a,b,third,second,first,sum,product,difference,"[0, 1]",f,❌,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,'-1\n0\n1','1\n-1\n0'
a,b,third,second,first,sum,product,difference,"[100, 20]",f,❌,outputs/arithmetic/1303/0.py,input/arithmetic/1303.txt,'80\n2000\n120','120\n80\n2000'
a,b,third,second,first,difference,sum,product,"[3, 5]",f,❌,outputs/arithmetic/1307/0.py,input/arithmetic/1307.txt,'15\n8\n-2','8\n-2\n15'
