double_class,triple_class,input,result,result_emojis,model_output,model_input,expected,actual
upper-case letter,number,AAAaaaaaAAAA,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,number,1A2B3C!,p,✅,outputs/double_letters/17/0.py,input/double_letters/17.txt,,
upper-case letter,lower-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,A?,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,?,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,!!!!!,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,lower-case letter,1A2B3C!,p,✅,outputs/double_letters/19/0.py,input/double_letters/19.txt,,
upper-case letter,exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,A?,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,?,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,!!!!!,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,exclamation point,1A2B3C!,p,✅,outputs/double_letters/20/0.py,input/double_letters/20.txt,,
upper-case letter,question mark,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,A?,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,?,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,!!!!!,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
upper-case letter,question mark,1A2B3C!,p,✅,outputs/double_letters/21/0.py,input/double_letters/21.txt,,
lower-case letter,number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,A?,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,?,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,!!!!!,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,AAAaaaaaAAAA,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,number,1A2B3C!,p,✅,outputs/double_letters/25/0.py,input/double_letters/25.txt,,
lower-case letter,upper-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,A?,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,?,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,!!!!!,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,upper-case letter,1A2B3C!,p,✅,outputs/double_letters/26/0.py,input/double_letters/26.txt,,
lower-case letter,exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,A?,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,?,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,!!!!!,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,exclamation point,1A2B3C!,p,✅,outputs/double_letters/28/0.py,input/double_letters/28.txt,,
lower-case letter,question mark,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,A?,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,?,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,!!!!!,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
lower-case letter,question mark,1A2B3C!,p,✅,outputs/double_letters/29/0.py,input/double_letters/29.txt,,
exclamation point,letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,A?,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,?,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,!!!!!,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,letter,1A2B3C!,p,✅,outputs/double_letters/32/0.py,input/double_letters/32.txt,,
exclamation point,number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,A?,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,?,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,!!!!!,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,AAAaaaaaAAAA,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,number,1A2B3C!,p,✅,outputs/double_letters/33/0.py,input/double_letters/33.txt,,
exclamation point,upper-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,A?,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,?,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,!!!!!,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,upper-case letter,1A2B3C!,p,✅,outputs/double_letters/34/0.py,input/double_letters/34.txt,,
exclamation point,lower-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,A?,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,?,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,!!!!!,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,lower-case letter,1A2B3C!,p,✅,outputs/double_letters/35/0.py,input/double_letters/35.txt,,
exclamation point,question mark,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,A?,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,?,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,!!!!!,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,AAAaaaaaAAAA,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,question mark,1A2B3C!,p,✅,outputs/double_letters/37/0.py,input/double_letters/37.txt,,
exclamation point,vowel (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),A?,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),?,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,vowel (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/38/0.py,input/double_letters/38.txt,,
exclamation point,consonant (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,f,❌,outputs/double_letters/39/0.py,input/double_letters/39.txt,'aaaABBB1!!1kkkfff!!kkkddd3?fff3fffkkk?lllkkk3','aaaABBB111!!111kkkfff!!kkkddd333???fff333fffkkk???lllkkk333'
exclamation point,consonant (lower-case or upper-case),???!!!!ABCdefg1234aaaee,f,❌,outputs/double_letters/39/0.py,input/double_letters/39.txt,'???!!!!!!!!ABBBCCCdddefffggg1234aaaee','?????????!!!!!!!!ABBBCCCdddefffggg111222333444aaaee'
exclamation point,consonant (lower-case or upper-case),A?,f,❌,outputs/double_letters/39/0.py,input/double_letters/39.txt,'A?','A???'
exclamation point,consonant (lower-case or upper-case),?,f,❌,outputs/double_letters/39/0.py,input/double_letters/39.txt,'?','???'
exclamation point,consonant (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/39/0.py,input/double_letters/39.txt,,
exclamation point,consonant (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/39/0.py,input/double_letters/39.txt,,
exclamation point,consonant (lower-case or upper-case),1A2B3C!,f,❌,outputs/double_letters/39/0.py,input/double_letters/39.txt,'1A2BBB3CCC!!','111A222BBB333CCC!!'
question mark,letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,A?,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,?,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,!!!!!,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,letter,1A2B3C!,p,✅,outputs/double_letters/40/0.py,input/double_letters/40.txt,,
question mark,number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,A?,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,?,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,!!!!!,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,AAAaaaaaAAAA,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,number,1A2B3C!,p,✅,outputs/double_letters/41/0.py,input/double_letters/41.txt,,
question mark,upper-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,A?,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,?,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,!!!!!,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,upper-case letter,1A2B3C!,p,✅,outputs/double_letters/42/0.py,input/double_letters/42.txt,,
question mark,lower-case letter,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,A?,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,?,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,!!!!!,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,AAAaaaaaAAAA,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,lower-case letter,1A2B3C!,p,✅,outputs/double_letters/43/0.py,input/double_letters/43.txt,,
question mark,exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,A?,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,?,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,!!!!!,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,exclamation point,1A2B3C!,p,✅,outputs/double_letters/44/0.py,input/double_letters/44.txt,,
question mark,vowel (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),A?,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),?,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,vowel (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/46/0.py,input/double_letters/46.txt,,
question mark,consonant (lower-case or upper-case),aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),A?,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),?,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),!!!!!,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),AAAaaaaaAAAA,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
question mark,consonant (lower-case or upper-case),1A2B3C!,p,✅,outputs/double_letters/47/0.py,input/double_letters/47.txt,,
vowel (lower-case or upper-case),number,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,A?,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,?,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,!!!!!,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,AAAaaaaaAAAA,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),number,1A2B3C!,p,✅,outputs/double_letters/49/0.py,input/double_letters/49.txt,,
vowel (lower-case or upper-case),exclamation point,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,A?,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,?,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,!!!!!,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,AAAaaaaaAAAA,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),exclamation point,1A2B3C!,p,✅,outputs/double_letters/52/0.py,input/double_letters/52.txt,,
vowel (lower-case or upper-case),question mark,aaaAB1!1kf!kd3?f3fk?lk3,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),question mark,???!!!!ABCdefg1234aaaee,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
vowel (lower-case or upper-case),question mark,A?,p,✅,outputs/double_letters/53/0.py,input/double_letters/53.txt,,
