ret_index,cmp_index,cmp,func_name,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
first,first,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/11.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""93"", ""5""], [""67"", ""58""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""93"", ""12""], [""89"", ""10""]]"
first,second,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/12.txt,[],[],pfppfffff,✅❌✅✅❌❌❌❌❌,[],"[[""59"", ""51""], [""13"", ""3""], [""78"", ""52""], [""4"", ""0""], [""94"", ""9""], [""99"", ""33""]]",ppppppppp,✅✅✅✅✅✅✅✅✅,[],[]
first,second,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/13.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""59"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""31"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""4"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""13"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""78"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""4"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""94"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""99"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""97"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""5"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""40"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""36"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""49"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""41"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""12"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""61"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,second,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/14.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[]
first,second,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/15.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""59"", ""84""], [""31"", ""36""], [""4"", ""3""], [""13"", ""80""], [""78"", ""25""], [""4"", ""77""], [""94"", ""63""], [""99"", ""9""]]",ppppppppp,✅✅✅✅✅✅✅✅✅,[],[]
first,second,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/16.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""59"", ""84""], [""31"", ""36""], [""4"", ""3""], [""13"", ""80""], [""78"", ""25""], [""4"", ""77""], [""94"", ""63""], [""99"", ""9""]]",pppffffpf,✅✅✅❌❌❌❌✅❌,[],"[[""40"", ""58""], [""36"", ""83""], [""49"", ""51""], [""41"", ""73""], [""61"", ""10""]]"
first,second,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/17.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[]
first,second,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/18.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""98""], [""22"", ""16""], [""25"", ""14""], [""58"", ""94""], [""83"", ""100""], [""82"", ""61""], [""70"", ""84""], [""86"", ""42""], [""89"", ""33""]]"
first,second,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/19.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""22"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""25"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""58"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""83"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""82"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""70"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""86"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""89"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,second,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/20.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pffppffff,✅❌❌✅✅❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""5""], [""82"", ""51""], [""70"", ""73""], [""86"", ""12""], [""89"", ""10""]]"
first,second,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/21.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pffppffff,✅❌❌✅✅❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""5""], [""82"", ""51""], [""70"", ""73""], [""86"", ""12""], [""89"", ""10""]]"
first,second,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/22.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pffppffff,✅❌❌✅✅❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""5""], [""82"", ""51""], [""70"", ""73""], [""86"", ""12""], [""89"", ""10""]]"
first,second,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/23.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pffppffff,✅❌❌✅✅❌❌❌❌,[],"[[""22"", ""97""], [""25"", ""5""], [""82"", ""51""], [""70"", ""73""], [""86"", ""12""], [""89"", ""10""]]"
first,third,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/24.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""51"", ""84""], [""100"", ""72""], [""47"", ""20""], [""30"", ""89""], [""78"", ""12""], [""89"", ""61""], [""9"", ""63""], [""72"", ""89""]]",eeeeeeeee,💀💀💀💀💀💀💀💀💀,"[""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable""]",[]
first,third,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/25.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""22"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""93"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""58"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""88"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""85"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""88"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""12"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""89"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,third,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/26.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""52""], [""51"", ""25""], [""100"", ""59""], [""47"", ""22""], [""30"", ""27""], [""78"", ""73""], [""89"", ""98""], [""9"", ""16""], [""72"", ""47""]]",fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""98""], [""22"", ""16""], [""93"", ""14""], [""58"", ""94""], [""88"", ""100""], [""85"", ""61""], [""88"", ""84""], [""12"", ""42""], [""89"", ""33""]]"
first,third,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/27.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""51"", ""84""], [""100"", ""36""], [""47"", ""3""], [""30"", ""80""], [""78"", ""25""], [""89"", ""77""], [""9"", ""63""], [""72"", ""9""]]",pffpfffpf,✅❌❌✅❌❌❌✅❌,[],"[[""22"", ""97""], [""93"", ""5""], [""88"", ""83""], [""85"", ""51""], [""88"", ""73""], [""89"", ""10""]]"
first,third,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/28.txt,[],[],ppfffffpf,✅✅❌❌❌❌❌✅❌,[],"[[""100"", ""31""], [""47"", ""4""], [""30"", ""3""], [""78"", ""52""], [""89"", ""0""], [""72"", ""33""]]",fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""98""], [""22"", ""16""], [""93"", ""14""], [""58"", ""94""], [""88"", ""100""], [""85"", ""61""], [""88"", ""84""], [""12"", ""42""], [""89"", ""33""]]"
first,third,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/29.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],pffffffpf,✅❌❌❌❌❌❌✅❌,[],"[[""22"", ""97""], [""93"", ""5""], [""58"", ""40""], [""88"", ""36""], [""85"", ""49""], [""88"", ""41""], [""89"", ""61""]]"
first,third,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/30.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],eeeeeeeee,💀💀💀💀💀💀💀💀💀,"[""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable"", ""'tuple' object is not callable""]",[]
first,third,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/31.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""25"", ""5""], [""67"", ""58""], [""36"", ""83""], [""49"", ""51""], [""29"", ""73""], [""85"", ""12""], [""51"", ""10""]]"
first,third,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/32.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""25"", ""5""], [""67"", ""58""], [""36"", ""83""], [""49"", ""51""], [""29"", ""73""], [""85"", ""12""], [""51"", ""10""]]"
first,third,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/33.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],ppfffffff,✅✅❌❌❌❌❌❌❌,[],"[[""25"", ""5""], [""67"", ""58""], [""36"", ""83""], [""49"", ""51""], [""29"", ""73""], [""85"", ""12""], [""51"", ""10""]]"
first,third,largest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/34.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""98""], [""97"", ""16""], [""25"", ""14""], [""67"", ""94""], [""36"", ""100""], [""49"", ""61""], [""29"", ""84""], [""85"", ""42""], [""51"", ""33""]]"
first,third,largest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/35.txt,[],[],ppppppppp,✅✅✅✅✅✅✅✅✅,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""98""], [""97"", ""16""], [""25"", ""14""], [""67"", ""94""], [""36"", ""100""], [""49"", ""61""], [""29"", ""84""], [""85"", ""42""], [""51"", ""33""]]"
first,twelfth,smallest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/36.txt,[],[],pfffpffff,✅❌❌❌✅❌❌❌❌,[],"[[""59"", ""51""], [""100"", ""31""], [""47"", ""4""], [""72"", ""52""], [""89"", ""0""], [""97"", ""9""], [""67"", ""33""]]",ppfffpfff,✅✅❌❌❌✅❌❌❌,[],"[[""93"", ""5""], [""56"", ""40""], [""88"", ""36""], [""47"", ""41""], [""6"", ""12""], [""10"", ""61""]]"
first,twelfth,smallest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/37.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""52""], [""59"", ""25""], [""100"", ""57""], [""47"", ""12""], [""3"", ""18""], [""72"", ""17""], [""89"", ""41""], [""97"", ""16""], [""67"", ""0""]]",fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""97"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""93"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""56"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""88"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""49"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""47"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""6"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""10"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,twelfth,smallest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/38.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""52""], [""59"", ""25""], [""100"", ""57""], [""47"", ""12""], [""3"", ""18""], [""72"", ""17""], [""89"", ""41""], [""97"", ""16""], [""67"", ""0""]]",ppfffpfff,✅✅❌❌❌✅❌❌❌,[],"[[""93"", ""5""], [""56"", ""40""], [""88"", ""36""], [""47"", ""41""], [""6"", ""12""], [""10"", ""61""]]"
first,twelfth,smallest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/39.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""(53, 56, 52, 30, 89, 11, 71, 26, 84, 8, 60, 42)""], [""59"", ""(51, 84, 25, 54, 96, 23, 65, 6, 44, 32, 21, 52)""], [""100"", ""(31, 36, 59, 63, 32, 79, 1, 56, 65, 98, 88, 84)""], [""47"", ""(4, 3, 22, 82, 28, 90, 90, 70, 25, 73, 32, 83)""], [""3"", ""(3, 80, 27, 94, 4, 69, 82, 16, 82, 87, 37, 5)""], [""72"", ""(52, 25, 73, 76, 40, 51, 63, 91, 7, 69, 20, 54)""], [""89"", ""(0, 77, 98, 7, 36, 82, 31, 98, 28, 81, 51, 92)""], [""97"", ""(9, 63, 16, 64, 70, 2, 61, 78, 84, 69, 39, 71)""], [""67"", ""(33, 9, 47, 16, 27, 88, 29, 47, 77, 43, 83, 48)""]]",ppfffpfff,✅✅❌❌❌✅❌❌❌,[],"[[""93"", ""5""], [""56"", ""40""], [""88"", ""36""], [""47"", ""41""], [""6"", ""12""], [""10"", ""61""]]"
first,twelfth,smallest,fibonacci,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/40.txt,[],[],pfffpffff,✅❌❌❌✅❌❌❌❌,[],"[[""59"", ""51""], [""100"", ""31""], [""47"", ""4""], [""72"", ""52""], [""89"", ""0""], [""97"", ""9""], [""67"", ""33""]]",ppffffffp,✅✅❌❌❌❌❌❌✅,[],"[[""93"", ""5""], [""56"", ""58""], [""88"", ""83""], [""49"", ""51""], [""47"", ""73""], [""6"", ""12""]]"
first,twelfth,smallest,min_max,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/41.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""59"", ""84""], [""100"", ""36""], [""47"", ""3""], [""3"", ""80""], [""72"", ""25""], [""89"", ""77""], [""97"", ""63""], [""67"", ""9""]]",ppfffpfff,✅✅❌❌❌✅❌❌❌,[],"[[""93"", ""5""], [""56"", ""40""], [""88"", ""36""], [""47"", ""41""], [""6"", ""12""], [""10"", ""61""]]"
first,twelfth,largest,extract_value,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/42.txt,[],[],fpfffffff,❌✅❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""31"", ""72""], [""4"", ""38""], [""66"", ""29""], [""78"", ""46""], [""0"", ""61""], [""13"", ""90""], [""84"", ""6""]]",pfpfpffff,✅❌✅❌✅❌❌❌❌,[],"[[""22"", ""97""], [""67"", ""58""], [""39"", ""51""], [""29"", ""73""], [""86"", ""12""], [""60"", ""10""]]"
first,twelfth,largest,tuple_extract,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/43.txt,[],[],fpfffffff,❌✅❌❌❌❌❌❌❌,[],"[[""53"", ""56""], [""31"", ""72""], [""4"", ""38""], [""66"", ""29""], [""78"", ""46""], [""0"", ""61""], [""13"", ""90""], [""84"", ""6""]]",ppffpffpf,✅✅❌❌✅❌❌✅❌,[],"[[""5"", ""25""], [""67"", ""58""], [""39"", ""82""], [""29"", ""70""], [""60"", ""89""]]"
first,twelfth,largest,f,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/44.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""52""], [""51"", ""70""], [""31"", ""80""], [""4"", ""67""], [""66"", ""64""], [""78"", ""87""], [""0"", ""98""], [""13"", ""76""], [""84"", ""87""]]",fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""90"", ""(90, 98, 85, 2, 7, 17, 98, 21, 46, 74, 41, 72)""], [""22"", ""(97, 16, 89, 99, 93, 14, 87, 50, 9, 10, 87, 43)""], [""5"", ""(5, 14, 49, 26, 47, 22, 63, 29, 82, 18, 90, 37)""], [""67"", ""(58, 94, 7, 0, 4, 94, 47, 99, 21, 53, 89, 69)""], [""83"", ""(83, 100, 50, 31, 47, 72, 98, 90, 59, 91, 35, 99)""], [""39"", ""(51, 61, 92, 95, 74, 31, 94, 26, 49, 99, 52, 44)""], [""29"", ""(73, 84, 6, 21, 23, 16, 94, 43, 33, 1, 55, 75)""], [""86"", ""(12, 42, 68, 94, 69, 0, 70, 82, 19, 26, 48, 84)""], [""60"", ""(10, 33, 59, 2, 86, 50, 85, 24, 48, 13, 64, 0)""]]"
first,twelfth,largest,some_func,✅✅✅✅✅✅✅✅✅,ppppppppp,input/codex/tuple_list/45.txt,[],[],fffffffff,❌❌❌❌❌❌❌❌❌,[],"[[""53"", ""52""], [""51"", ""70""], [""31"", ""80""], [""4"", ""67""], [""66"", ""64""], [""78"", ""87""], [""0"", ""98""], [""13"", ""76""], [""84"", ""87""]]",pfpfpffff,✅❌✅❌✅❌❌❌❌,[],"[[""22"", ""97""], [""67"", ""58""], [""39"", ""51""], [""29"", ""73""], [""86"", ""12""], [""60"", ""10""]]"
