codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,op,step,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅,✅✅✅,✅❌❌,incr,3829893478785784890248,"[1, 2, 3]",ppp,input/codex/incr_list/10.txt,[],[],"[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]",pff,[],[],[],[],[],"[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]"
✅✅✅,❌❌❌,✅❌❌,incr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/11.txt,[],"[[""[]"", ""[0, 0]""], [""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[0, 1, 2, 3, 0]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 123, 0]""]]","[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]",[],[],[],fff,[],[],[],[],"[[""[]"", ""[0, 0]""], [""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[0, 1, 2, 3, 0]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 123, 0]""]]","[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]",pff,[],[],[],[],"[[""[]"", ""[0, 0]""], [""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[0, 1, 2, 3, 0]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[0, 0, 2, 2, 3, 3, 5, 5, 9, 123, 0]""]]","[[""[3829893478785784890251, 3829893478785784890250, 3829893478785784890249]"", ""[5]""], [""[3829893478785784890253, 3829893478785784890250, 3829893478785784890253, 3829893478785784890250, 3829893478785784890251, 3829893478785784890251, 3829893478785784890257, 3829893478785784890248, 3829893478785784890371]"", ""[7, 7, 6, 9]""]]"
✅✅✅,✅❌❌,✅✅❌,decr,0,"[1, 2, 3]",ppp,input/codex/incr_list/12.txt,[],"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",[],[],[],pff,[],[],[],[],"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",ppf,[],[],[],[],"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]"
✅❌❌,✅❌❌,✅✅❌,decr,0,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",pff,input/codex/incr_list/13.txt,"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",[],[],[],pff,[],[],[],"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",ppf,[],[],[],"[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[3, 2, 1]"", ""[2, 1, 0]""], [""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[4, 1, 4, 1, 2, 2, 8, -1, 122]""]]","[[""[5, 2, 5, 2, 3, 3, 9, 0, 123]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,1,"[1, 2, 3]",ppp,input/codex/incr_list/14.txt,[],[],"[[""[2, 1, 0]"", ""[3, 2, 1]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[2, 1, 0]"", ""[3, 2, 1]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",pff,[],[],[],[],[],"[[""[2, 1, 0]"", ""[3, 2, 1]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,1,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/15.txt,[],[],"[[""[2, 1, 0]"", ""[3, 2]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[2, 1, 0]"", ""[3, 2]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",pff,[],[],[],[],[],"[[""[2, 1, 0]"", ""[3, 2]""], [""[4, 1, 4, 1, 2, 2, 8, -1, 122]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,2,"[1, 2, 3]",ppp,input/codex/incr_list/16.txt,[],[],"[[""[1, 0, -1]"", ""[3, 2, 1]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[1, 0, -1]"", ""[3, 2, 1]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",pff,[],[],[],[],[],"[[""[1, 0, -1]"", ""[3, 2, 1]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/17.txt,[],[],"[[""[1, 0, -1]"", ""[3, 2]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 0]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[1, 0, -1]"", ""[3, 2]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 0]""]]",pff,[],[],[],[],[],"[[""[1, 0, -1]"", ""[3, 2]""], [""[3, 0, 3, 0, 1, 1, 7, -2, 121]"", ""[5, 2, 5, 2, 3, 3, 9, 0]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,100,"[1, 2, 3]",ppp,input/codex/incr_list/18.txt,[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]",pff,[],[],[],[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/19.txt,[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]",pff,[],[],[],[],[],"[[""[-97, -98, -99]"", ""[]""], [""[-95, -98, -95, -98, -97, -97, -91, -100, 23]"", ""[123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,9999,"[1, 2, 3]",ppp,input/codex/incr_list/20.txt,[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",pff,[],[],[],[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/21.txt,[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",pff,[],[],[],[],[],"[[""[-9996, -9997, -9998]"", ""[3, 2, 1]""], [""[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,3829893478785784890248,"[1, 2, 3]",ppp,input/codex/incr_list/22.txt,[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]",pff,[],[],[],[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 123]""]]"
✅✅✅,✅✅✅,✅❌❌,decr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",ppp,input/codex/incr_list/23.txt,[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",[],[],[],ppp,[],[],[],[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]",pff,[],[],[],[],[],"[[""[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]"", ""[3, 2, 1]""], [""[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]"", ""[5, 2, 5, 2, 3, 3, 9, 0, 123]""]]"
