op,example_input,order,result_emojis,result,model_input,failed_inputs,errors,incoder_result,incoder_result_emojis,errors,failed_inputs,codeparrot_result,codeparrot_result_emojis,errors,failed_inputs
prefixes,12345678,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/10.txt,[],[],pee,✅💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'asdfg', 'asdf', 'asd', 'as', 'a']"", ""['as', 'sd', 'df', 'fg', 'gh']""], [""['WWW', 'WW', 'W']"", ""['WW', 'WW']""]]"
prefixes,12345678,shortest_first,✅✅✅,ppp,input/codex/suffix_prefix/11.txt,[],[],fff,❌❌❌,[],"[[""[]"", ""['']""], [""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""['', 'a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']""], [""['W', 'WW', 'WWW']"", ""['', 'W', 'WW', 'WWW']""]]",pff,✅❌❌,[],"[[""['a', 'as', 'asd', 'asdf', 'asdfg', 'asdfgh']"", ""['as', 'sd', 'df', 'fg', 'gh']""], [""['W', 'WW', 'WWW']"", ""['WW', 'WW']""]]"
suffixes,abc,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/12.txt,[],[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']"", ""['asdfgh']""], [""['WWW', 'WW', 'W']"", ""['WWW']""]]"
suffixes,abc,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/13.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh']""], [""['W', 'WW', 'WWW']"", ""['WWW']""]]"
suffixes,xyz,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/14.txt,[],[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pee,✅💀💀,"[""name 'longest' is not defined"", ""name 'longest' is not defined""]",[]
suffixes,xyz,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/15.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""[]""], [""['W', 'WW', 'WWW']"", ""[]""]]"
suffixes,suffix,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/16.txt,[],[],eee,💀💀💀,"[""name 'suffixes_iter' is not defined"", ""name 'suffixes_iter' is not defined"", ""name 'suffixes_iter' is not defined""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']"", ""['a', 's', 'd', 'f', 'g']""], [""['WWW', 'WW', 'W']"", ""['W', 'W']""]]"
suffixes,suffix,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/17.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],eee,💀💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['a', 's', 'd', 'f', 'g']""], [""['W', 'WW', 'WWW']"", ""['W', 'W']""]]"
suffixes,prefix,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/18.txt,[],[],eee,💀💀💀,"[""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object"", ""maximum recursion depth exceeded while calling a Python object""]",[],pff,✅❌❌,[],"[[""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']"", ""[]""], [""['WWW', 'WW', 'W']"", ""[]""]]"
suffixes,prefix,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/19.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['h', 'g', 'f', 'd', 's', 'a']""], [""['W', 'WW', 'WWW']"", ""['W', 'W', 'W']""]]",pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh']""], [""['W', 'WW', 'WWW']"", ""['WWW']""]]"
suffixes,reverse the result!!!,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/20.txt,[],[],fff,❌❌❌,[],"[[""[]"", ""['']""], [""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']"", ""['asdfgh']""], [""['WWW', 'WW', 'W']"", ""['WWW']""]]",pff,✅❌❌,[],"[[""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']"", ""['asdfgh']""], [""['WWW', 'WW', 'W']"", ""['WWW']""]]"
suffixes,reverse the result!!!,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/21.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],eee,💀💀💀,"[""name 'itertools' is not defined"", ""name 'itertools' is not defined"", ""name 'itertools' is not defined""]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""[]""], [""['W', 'WW', 'WWW']"", ""[]""]]"
suffixes,12345678,longest_first,✅✅✅,ppp,input/codex/suffix_prefix/22.txt,[],[],ppp,✅✅✅,[],[],pee,✅💀💀,"[""name 'longest' is not defined"", ""name 'longest' is not defined""]",[]
suffixes,12345678,shortest_first,✅❌❌,pff,input/codex/suffix_prefix/23.txt,"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",[],pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']""], [""['W', 'WW', 'WWW']"", ""['WWW', 'WW', 'W']""]]",pff,✅❌❌,[],"[[""['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']"", ""['asdfgh']""], [""['W', 'WW', 'WWW']"", ""['WWW']""]]"
