codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,pos_ret,neg_ret,sep,case,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌✅❌❌❌,True,False,a dash,uppercase,ffffffffffffff,input/codex/joined_seq/24.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 8), match='AAB-CBBC'>""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]",[],[],[],ffffffffffffff,[],[],[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 8), match='AAB-CBBC'>""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]",ffffffffffpfff,[],[],[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 8), match='AAB-CBBC'>""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]"
❌❌❌❌❌❌❌❌❌❌❌❌❌❌,✅✅✅✅✅✅✅✅✅✅✅✅✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,a dash,lowercase,ffffffffffffff,input/codex/joined_seq/25.txt,"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",pppppppppppppp,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""<re.Match object; span=(0, 9), match='aab-cbbbc'>""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""]]",[],[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,a question mark,uppercase,pppppppppppppp,input/codex/joined_seq/26.txt,[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ffffffffffffff,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""False"", ""None""], [""True"", ""None""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌✅❌✅❌✅✅✅❌✅❌✅✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,True,False,a question mark,lowercase,pppppppppppppp,input/codex/joined_seq/27.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",fpfpfpppfpfppp,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,✅✅✅❌✅❌✅❌✅❌✅❌✅❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,an underscore,uppercase,pppppppppppppp,input/codex/joined_seq/28.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""False"", ""'AAB CBBC'""], [""True"", ""False""], [""True"", ""'AAB  CBBC'""], [""True"", ""False""], [""True"", ""'AAB      CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""], [""True"", ""False""], [""True"", ""'AAB+CBBC'""], [""True"", ""False""], [""True"", ""'AAB-CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""]]",[],[],[],pppfpfpfpfpfpf,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""False"", ""'AAB CBBC'""], [""True"", ""False""], [""True"", ""'AAB  CBBC'""], [""True"", ""False""], [""True"", ""'AAB      CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""], [""True"", ""False""], [""True"", ""'AAB+CBBC'""], [""True"", ""False""], [""True"", ""'AAB-CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""False"", ""'AAB CBBC'""], [""True"", ""False""], [""True"", ""'AAB  CBBC'""], [""True"", ""False""], [""True"", ""'AAB      CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""], [""True"", ""False""], [""True"", ""'AAB+CBBC'""], [""True"", ""False""], [""True"", ""'AAB-CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""]]"
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,an underscore,lowercase,pppppppppppppp,input/codex/joined_seq/29.txt,[],"[[""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""False"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""]]",[],[],[],ffffffffffffff,[],[],[],[],"[[""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""False"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""]]",ffffffffffffff,[],[],[],[],"[[""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""False"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""]]"
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,✅❌✅✅✅❌✅❌✅❌✅❌✅❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,two underscores,uppercase,pppppppppppppp,input/codex/joined_seq/30.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""False"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[],[],[],pfpppfpfpfpfpf,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""False"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""False"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]"
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌✅❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,two underscores,lowercase,pppppppppppppp,input/codex/joined_seq/31.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""False"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[],[],[],ffpfffffffffff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""False"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""False"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]"
✅❌✅❌✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,six underscores,uppercase,pfpfpppppppppp,input/codex/joined_seq/32.txt,"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""False"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[],[],[],ffffffffffffff,[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""False"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""False"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""], [""True"", ""None""]]","[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""False"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]"
✅✅✅✅❌✅✅✅✅✅✅✅✅✅,✅✅✅✅❌✅✅✅✅✅✅✅✅✅,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,False,True,six underscores,lowercase,ppppfppppppppp,input/codex/joined_seq/33.txt,"[[""False"", ""True""]]","[[""False"", ""True""]]",[],[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]",ppppfppppppppp,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""True""]]","[[""False"", ""True""]]",[],eeeeeeeeeeeeee,[],[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]","[[""False"", ""True""]]","[[""False"", ""True""]]",[]
✅✅✅✅✅✅✅✅✅✅✅✅✅✅,❌❌❌❌❌❌❌❌❌❌❌✅❌❌,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,False,True,a minus,uppercase,pppppppppppppp,input/codex/joined_seq/34.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'AAB_CBBBC'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'AAB__CBBBC'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'AAB______CBBBC'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'AAB+CBBBC'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'AAB-CBBBC'""], [""False"", ""'AAB-CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""]]",[],[],[],fffffffffffpff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'AAB_CBBBC'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'AAB__CBBBC'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'AAB______CBBBC'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'AAB+CBBBC'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'AAB-CBBBC'""], [""False"", ""'AAB-CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""]]",ffffffffffffff,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""'AAB_CBBBC'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'AAB__CBBBC'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'AAB______CBBBC'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'AAB+CBBBC'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'AAB-CBBBC'""], [""False"", ""'AAB-CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""]]"
