codex_result_emojis,incoder_result_emojis,codeparrot_result_emojis,sum_num,count,example_input,codex_result,model_input,failed_inputs,failed_inputs,failed_inputs,errors,errors,errors,incoder_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs,codeparrot_result,errors,errors,errors,failed_inputs,failed_inputs,failed_inputs
✅✅✅✅✅✅✅,❌❌❌❌❌✅❌,✅✅✅❌❌✅❌,0,5,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/14.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],fffffpf,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,💀💀💀💀💀💀💀,✅✅✅❌❌✅❌,0,5,[1],ppppppp,input/codex/triples_sum_to/15.txt,[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],eeeeeee,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",pppffpf,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,💀💀💀💀💀💀💀,✅❌❌✅✅❌❌,0,8,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/16.txt,[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],eeeeeee,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",pffppff,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅✅❌✅❌✅❌,✅❌❌✅✅❌❌,0,8,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/17.txt,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[],[],[],ppfpfpf,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",pffppff,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅✅❌✅❌✅❌,✅❌❌✅✅❌❌,0,8,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/18.txt,[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[],[],[],ppfpfpf,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",pffppff,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,💀💀💀💀💀💀💀,✅❌❌✅✅❌❌,0,8,[1],ppppppp,input/codex/triples_sum_to/19.txt,[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],eeeeeee,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",pffppff,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]",[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅✅✅✅❌❌✅,✅❌✅✅❌❌✅,0,10,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/20.txt,[],"[[""True"", ""False""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[],[],[],ppppffp,[],[],[],[],"[[""True"", ""False""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",pfppffp,[],[],[],[],"[[""True"", ""False""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
✅✅✅✅❌✅✅,✅✅❌✅❌✅✅,✅❌✅✅❌❌✅,0,10,"[1, 3, -2, 1, 5, 8]",ppppfpp,input/codex/triples_sum_to/21.txt,"[[""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[],[],[],ppfpfpp,[],[],[],"[[""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",pfppffp,[],[],[],"[[""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
✅✅✅✅✅✅✅,✅✅❌✅❌✅✅,✅❌✅✅❌❌✅,0,10,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/22.txt,[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[],[],[],ppfpfpp,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",pfppffp,[],[],[],[],"[[""False"", ""True""], [""True"", ""False""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
✅✅✅✅✅✅✅,✅❌❌❌❌❌❌,✅❌✅✅❌❌✅,0,10,[1],ppppppp,input/codex/triples_sum_to/23.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[],[],[],pffffff,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",pfppffp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]","[[""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]"
✅✅✅✅✅✅✅,❌✅❌✅❌✅❌,❌✅❌✅❌✅✅,1,2,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/24.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],fpfpfpf,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",fpfpfpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌❌✅✅✅✅,❌✅❌✅❌✅✅,1,2,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/25.txt,[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],fffpppp,[],[],[],[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",fpfpfpp,[],[],[],[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌❌✅✅✅✅,💀💀💀💀💀💀💀,1,2,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/26.txt,[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[],[],[],"[""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()""]",fffpppp,[],[],"[""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()""]",[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[],eeeeeee,[],[],"[""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()""]",[],"[[""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
✅✅✅✅✅✅✅,✅❌✅❌✅❌✅,❌✅❌✅❌✅✅,1,2,[1],ppppppp,input/codex/triples_sum_to/27.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[],[],[],pfpfpfp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",fpfpfpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌✅✅✅✅,✅❌❌✅✅✅✅,1,3,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/28.txt,[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌✅✅✅❌,✅❌❌✅✅✅✅,1,3,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/29.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pffpppf,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌✅✅✅❌,✅❌❌✅✅✅✅,1,3,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/30.txt,[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pffpppf,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]",pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌✅✅✅✅,✅❌❌✅✅✅✅,1,3,[1],ppppppp,input/codex/triples_sum_to/31.txt,[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pffpppp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌❌❌❌✅✅,✅✅✅❌❌✅✅,1,4,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/32.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],fffffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌✅❌❌✅✅,✅✅✅❌❌✅✅,1,4,"[1, 3, -2, 1, 5, 8]",ppppppp,input/codex/triples_sum_to/33.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],ffpffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅❌❌❌✅✅✅,✅✅✅❌❌✅✅,1,4,"[1, 2, -3, 7, 2, 7]",ppppppp,input/codex/triples_sum_to/34.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pfffppp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,❌❌❌❌❌✅✅,✅✅✅❌❌✅✅,1,4,[1],ppppppp,input/codex/triples_sum_to/35.txt,[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],fffffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
✅✅✅✅✅✅✅,✅✅✅❌❌✅✅,✅✅✅❌❌✅✅,1,5,"[1, 3, 5, 0]",ppppppp,input/codex/triples_sum_to/36.txt,[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",[],[],[],pppffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]",pppffpp,[],[],[],[],"[[""True"", ""False""], [""True"", ""False""]]","[[""True"", ""False""], [""True"", ""False""]]"
