small_ret,large_ret,default_ret,small_limit,large_limit,result_emojis,result,model_input,failed_inputs,errors
large,small,,-100,-1,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/small_or_large/192.txt,"[[""None"", ""'small'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
large,small,,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/193.txt,"[[""None"", ""'small'""], [""None"", ""'small'""], [""None"", ""'large'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
large,small,,-100,15,❌❌✅✅❌❌❌❌,ffppffff,input/incoder/small_or_large/194.txt,"[[""None"", ""'small'""], [""None"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,-100,2000,❌❌✅✅✅✅❌❌,ffppppff,input/incoder/small_or_large/195.txt,"[[""None"", ""'small'""], [""None"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,2,15,❌❌❌✅❌❌❌❌,fffpffff,input/incoder/small_or_large/198.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,2,2000,❌❌❌✅✅✅❌❌,fffpppff,input/incoder/small_or_large/199.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,10,15,❌❌❌✅❌❌❌❌,fffpffff,input/incoder/small_or_large/202.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,10,2000,❌❌❌✅✅✅❌❌,fffpppff,input/incoder/small_or_large/203.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,,1000,2000,❌❌❌❌❌✅❌❌,fffffpff,input/incoder/small_or_large/207.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,-100,-1,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/small_or_large/208.txt,"[[""'None'"", ""'small'""], [""'small'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/209.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""'large'""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""], [""'small'"", ""None""]]",[]
large,small,None,-100,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/210.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,-100,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/211.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,2,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/214.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,2,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/215.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,10,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/218.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,10,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/219.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,None,1000,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/223.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,-100,-1,❌✅✅❌❌❌❌❌,fppfffff,input/incoder/small_or_large/224.txt,"[[""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,-100,2,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/225.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,-100,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/226.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,-100,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/227.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,2,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/230.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,2,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/231.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,10,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/234.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,10,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/235.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,small,neither,1000,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/239.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'small'""], [""'small'"", ""'large'""], [""'small'"", ""'large'""]]",[]
large,house,,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/240.txt,"[[""None"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""None""]]",[]
large,house,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/241.txt,[],[]
large,house,,-100,15,❌❌✅✅❌❌❌❌,ffppffff,input/incoder/small_or_large/242.txt,"[[""None"", ""'small'""], [""None"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,-100,2000,✅✅✅✅✅✅❌❌,ppppppff,input/incoder/small_or_large/243.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,2,15,❌❌❌✅❌❌❌❌,fffpffff,input/incoder/small_or_large/246.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,2,2000,❌❌❌✅✅✅❌❌,fffpppff,input/incoder/small_or_large/247.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,10,15,❌❌❌✅❌❌❌❌,fffpffff,input/incoder/small_or_large/250.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,10,2000,❌❌❌✅✅✅❌❌,fffpppff,input/incoder/small_or_large/251.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/255.txt,[],[]
large,house,None,-100,-1,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/256.txt,"[[""'None'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/257.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
large,house,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/258.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
large,house,None,-100,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/259.txt,"[[""'None'"", ""'small'""], [""'None'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,2,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/262.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,2,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/263.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,10,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/266.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,10,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/267.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,1000,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/271.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'None'"", ""None""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/272.txt,"[[""'neither'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'small'""]]",[]
large,house,neither,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/273.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'small'""]]",[]
large,house,neither,-100,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/274.txt,"[[""'neither'"", ""'small'""], [""'neither'"", ""'small'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,-100,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/275.txt,"[[""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,2,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/278.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,2,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/279.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,10,15,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/282.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,10,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/283.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,1000,2000,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/small_or_large/287.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'neither'"", ""'house'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
mouse,large,,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/288.txt,"[[""None"", ""'mouse'""], [""'large'"", ""'mouse'""], [""'large'"", ""None""]]",[]
mouse,large,,-100,2,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/289.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""]]",[]
mouse,large,,-100,15,❌❌✅✅✅✅✅✅,ffpppppp,input/incoder/small_or_large/290.txt,"[[""None"", ""'mouse'""], [""None"", ""'mouse'""]]",[]
mouse,large,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/291.txt,[],[]
mouse,large,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/294.txt,[],[]
mouse,large,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/295.txt,[],[]
mouse,large,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/298.txt,[],[]
mouse,large,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/299.txt,[],[]
mouse,large,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/incoder/small_or_large/303.txt,[],[]
mouse,large,None,-100,-1,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/304.txt,"[[""'None'"", ""'mouse'""], [""'large'"", ""'mouse'""], [""'large'"", ""None""]]",[]
mouse,large,None,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/incoder/small_or_large/305.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,large,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/incoder/small_or_large/306.txt,"[[""'None'"", ""'mouse'""], [""'None'"", ""'mouse'""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
