digit,factor2,factor3,example_input,result_emojis,result,model_input,failed_inputs,errors
4,1837,13,78,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/fizzbuzz_count/64.txt,"[[""0"", ""1""], [""0"", ""1""], [""0"", ""1""], [""2"", ""1""], [""93"", ""1""], [""308"", ""1""], [""3869"", ""1""]]",[]
4,1837,13,3298,✅❌✅✅❌❌❌❌,pfppffff,input/incoder/fizzbuzz_count/65.txt,"[[""0"", ""1""], [""2"", ""0""], [""93"", ""0""], [""308"", ""0""], [""3869"", ""0""]]",[]
4,1837,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/69.txt,"[[""0"", ""7""], [""0"", ""7""], [""0"", ""7""], [""0"", ""7""], [""0"", ""13""], [""1"", ""25""], [""2"", ""25""], [""40"", ""49""]]",[]
4,1837,3819,78,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/70.txt,"[[""1"", ""0""], [""2"", ""0""], [""40"", ""0""]]",[]
4,1837,3819,3298,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/71.txt,"[[""1"", ""0""], [""2"", ""0""], [""40"", ""0""]]",[]
3,11,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/72.txt,"[[""4"", ""0""], [""4"", ""0""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,11,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/73.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,11,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/74.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,11,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/78.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""202"", ""0""], [""366"", ""0""], [""4557"", ""0""]]",[]
3,11,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/79.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""202"", ""0""], [""366"", ""0""], [""4557"", ""0""]]",[]
3,11,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/80.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""202"", ""0""], [""366"", ""0""], [""4557"", ""0""]]",[]
3,13,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/84.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,13,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/85.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,13,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/86.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""0""], [""4"", ""0""], [""7"", ""0""], [""358"", ""0""], [""651"", ""0""], [""8028"", ""0""]]",[]
3,13,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/87.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""171"", ""0""], [""312"", ""0""], [""3861"", ""0""]]",[]
3,13,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/88.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""171"", ""0""], [""312"", ""0""], [""3861"", ""0""]]",[]
3,13,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/89.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""171"", ""0""], [""312"", ""0""], [""3861"", ""0""]]",[]
3,7,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/90.txt,"[[""3"", ""0""], [""4"", ""2""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""458"", ""0""], [""837"", ""0""], [""10442"", ""0""]]",[]
3,7,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/91.txt,"[[""3"", ""0""], [""4"", ""2""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""458"", ""0""], [""837"", ""0""], [""10442"", ""0""]]",[]
3,7,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/92.txt,"[[""3"", ""0""], [""4"", ""2""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""458"", ""0""], [""837"", ""0""], [""10442"", ""0""]]",[]
3,7,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/93.txt,"[[""3"", ""0""], [""4"", ""0""], [""4"", ""0""], [""4"", ""0""], [""8"", ""0""], [""483"", ""0""], [""874"", ""0""], [""11030"", ""0""]]",[]
3,7,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/94.txt,"[[""3"", ""0""], [""4"", ""1""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""483"", ""0""], [""874"", ""0""], [""11030"", ""0""]]",[]
3,7,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/95.txt,"[[""3"", ""0""], [""4"", ""1""], [""4"", ""1""], [""4"", ""0""], [""8"", ""0""], [""483"", ""0""], [""874"", ""0""], [""11030"", ""0""]]",[]
3,7,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/96.txt,"[[""1"", ""0""], [""2"", ""1""], [""2"", ""1""], [""2"", ""0""], [""4"", ""0""], [""314"", ""0""], [""572"", ""0""], [""7151"", ""0""]]",[]
3,7,3819,78,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/97.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""1""], [""4"", ""1""], [""314"", ""0""], [""572"", ""1""], [""7151"", ""0""]]",[]
3,7,3819,3298,✅❌❌❌❌❌❌❌,pfffffff,input/incoder/fizzbuzz_count/98.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""1""], [""4"", ""1""], [""314"", ""0""], [""572"", ""1""], [""7151"", ""0""]]",[]
3,1837,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/99.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""172"", ""0""], [""313"", ""0""], [""3874"", ""0""]]",[]
3,1837,13,78,❌⌛❌❌❌❌❌❌,ftffffff,input/incoder/fizzbuzz_count/100.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""172"", ""0""], [""313"", ""0""], [""3874"", ""0""]]",[]
3,1837,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/101.txt,"[[""2"", ""0""], [""2"", ""1""], [""2"", ""0""], [""2"", ""0""], [""4"", ""0""], [""172"", ""0""], [""313"", ""0""], [""3874"", ""0""]]",[]
3,1837,3819,50,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/105.txt,"[[""3"", ""0""], [""5"", ""0""], [""39"", ""0""]]",[]
3,1837,3819,78,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/106.txt,"[[""3"", ""0""], [""5"", ""0""], [""39"", ""0""]]",[]
3,1837,3819,3298,✅✅✅✅✅❌❌❌,pppppfff,input/incoder/fizzbuzz_count/107.txt,"[[""3"", ""0""], [""5"", ""0""], [""39"", ""0""]]",[]
1,11,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/108.txt,"[[""3"", ""0""], [""3"", ""0""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,11,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/109.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,11,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/110.txt,"[[""3"", ""0""], [""3"", ""0""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,11,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/114.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""13"", ""0""], [""202"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
1,11,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/115.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""13"", ""0""], [""202"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
1,11,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/116.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""13"", ""0""], [""202"", ""0""], [""365"", ""0""], [""4558"", ""0""]]",[]
1,13,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/120.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,13,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/121.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,13,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/122.txt,"[[""3"", ""0""], [""3"", ""1""], [""3"", ""0""], [""4"", ""0""], [""23"", ""0""], [""354"", ""0""], [""642"", ""0""], [""8053"", ""0""]]",[]
1,13,3819,50,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/fizzbuzz_count/123.txt,"[[""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""11"", ""0""], [""172"", ""0""], [""308"", ""0""], [""3859"", ""0""]]",[]
1,13,3819,78,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/fizzbuzz_count/124.txt,"[[""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""11"", ""0""], [""172"", ""0""], [""308"", ""0""], [""3859"", ""0""]]",[]
1,13,3819,3298,❌✅❌❌❌❌❌❌,fpffffff,input/incoder/fizzbuzz_count/125.txt,"[[""1"", ""0""], [""1"", ""0""], [""2"", ""0""], [""11"", ""0""], [""172"", ""0""], [""308"", ""0""], [""3859"", ""0""]]",[]
1,7,13,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/126.txt,"[[""3"", ""0""], [""3"", ""2""], [""3"", ""1""], [""4"", ""0""], [""29"", ""0""], [""461"", ""0""], [""835"", ""0""], [""10440"", ""0""]]",[]
1,7,13,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/127.txt,"[[""3"", ""0""], [""3"", ""2""], [""3"", ""1""], [""4"", ""0""], [""29"", ""0""], [""461"", ""0""], [""835"", ""0""], [""10440"", ""0""]]",[]
1,7,13,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/128.txt,"[[""3"", ""0""], [""3"", ""2""], [""3"", ""1""], [""4"", ""0""], [""29"", ""0""], [""461"", ""0""], [""835"", ""0""], [""10440"", ""0""]]",[]
1,7,11,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/129.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""1""], [""5"", ""0""], [""32"", ""0""], [""488"", ""0""], [""888"", ""0""], [""11046"", ""0""]]",[]
1,7,11,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/130.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""1""], [""5"", ""0""], [""32"", ""0""], [""488"", ""0""], [""888"", ""0""], [""11046"", ""0""]]",[]
1,7,11,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/131.txt,"[[""4"", ""0""], [""4"", ""1""], [""4"", ""1""], [""5"", ""0""], [""32"", ""0""], [""488"", ""0""], [""888"", ""0""], [""11046"", ""0""]]",[]
1,7,3819,50,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/132.txt,"[[""2"", ""7""], [""2"", ""11""], [""2"", ""11""], [""3"", ""14""], [""20"", ""28""], [""316"", ""572""], [""573"", ""1430""], [""7157"", ""14311""]]",[]
1,7,3819,78,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/133.txt,"[[""2"", ""7""], [""2"", ""11""], [""2"", ""11""], [""3"", ""14""], [""20"", ""28""], [""316"", ""572""], [""573"", ""1430""], [""7157"", ""14311""]]",[]
1,7,3819,3298,❌❌❌❌❌❌❌❌,ffffffff,input/incoder/fizzbuzz_count/134.txt,"[[""2"", ""0""], [""2"", ""0""], [""2"", ""0""], [""3"", ""0""], [""20"", ""0""], [""316"", ""0""], [""573"", ""0""], [""7157"", ""0""]]",[]
1,1837,13,50,✅❌✅❌❌❌❌❌,pfpfffff,input/incoder/fizzbuzz_count/135.txt,"[[""1"", ""2""], [""2"", ""1""], [""11"", ""1""], [""172"", ""1""], [""311"", ""1""], [""3872"", ""1""]]",[]
1,1837,13,78,💀💀💀💀💀💀💀💀,eeeeeeee,input/incoder/fizzbuzz_count/136.txt,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]"
