double_class,triple_class,result_emojis,result,model_input,failed_inputs,errors
exclamation point,consonant (lower-case or upper-case),❌❌❌❌✅❌❌,ffffpff,input/incoder/double_letters/39.txt,"[[""'aaaABBB1!!1kkkfff!!kkkddd3?fff3fffkkk?lllkkk3'"", ""'aaaaaaAB1!!1kkkfff!!kkkddd3??fff3fffkkk??lllkkk3'""], [""'???!!!!!!!!ABBBCCCdddefffggg1234aaaee'"", ""'??????!!!!!!!!ABCdddeefffggg1234aaaaaaeeee'""], [""'A?'"", ""'A??'""], [""'?'"", ""'??'""], [""'AAAaaaaaAAAA'"", ""'AAAaaaaaaaaaaAAAA'""], [""'1A2BBB3CCC!!'"", ""'1A2B3C!!'""]]",[]
question mark,letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/40.txt,[],"[""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output"", ""no function/method found in output""]"
question mark,number,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/41.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
question mark,upper-case letter,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/42.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
question mark,lower-case letter,❌❌✅✅✅❌✅,ffpppfp,input/incoder/double_letters/43.txt,"[[""'aaaaaaaaaAB1!1kkkfff!kkkddd3??fff3fffkkk??lllkkk3'"", ""'a?a?a?AB1!1k?f?!k?d?3??f?3f?k???l?k?3'""], [""'??????!!!!ABCdddeeefffggg1234aaaaaaaaaeeeeee'"", ""'??????!!!!ABCd?e?f?g?1234a?a?a?e?e?'""], [""'AAAaaaaaaaaaaaaaaaAAAA'"", ""'AAAa?a?a?a?a?AAAA'""]]",[]
question mark,exclamation point,❌❌✅✅❌✅❌,ffppfpf,input/incoder/double_letters/44.txt,"[[""'aaaAB1!!!1kf!!!kd3??f3fk??lk3'"", ""'aaaAB1!!1kf!!kd3??f3fk??lk3'""], [""'??????!!!!!!!!!!!!ABCdefg1234aaaee'"", ""'??????!!!!!!!!ABCdefg1234aaaee'""], [""'!!!!!!!!!!!!!!!'"", ""'!!!!!!!!!!'""], [""'1A2B3C!!!'"", ""'1A2B3C!!'""]]",[]
question mark,vowel (lower-case or upper-case),❌❌❌❌✅❌❌,ffffpff,input/incoder/double_letters/46.txt,"[[""'aaaaaaaaaAAAB1!1kf!kd3??f3fk??lk3'"", ""'aaaaaaAAB1!1kf!kd3?f3fk?lk3'""], [""'??????!!!!AAABCdeeefg1234aaaaaaaaaeeeeee'"", ""'???!!!!AABCdeefg1234aaaaaaeeee'""], [""'AAA??'"", ""'AA?'""], [""'??'"", ""'?'""], [""'AAAAAAAAAaaaaaaaaaaaaaaaAAAAAAAAAAAA'"", ""'AAAAAAaaaaaaaaaaAAAAAAAA'""], [""'1AAA2B3C!'"", ""'1AA2B3C!'""]]",[]
question mark,consonant (lower-case or upper-case),💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/47.txt,[],"[""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined"", ""name 're' is not defined""]"
vowel (lower-case or upper-case),number,❌❌❌✅✅❌❌,fffppff,input/incoder/double_letters/49.txt,"[[""'aaaaaaAAB111!111kf!kd333?f333fk?lk333'"", ""'aaaaaaAB111!111kf!kd333?f333fk?lk333'""], [""'???!!!!AABCdeefg111222333444aaaaaaeeee'"", ""'???!!!!ABCdeefg111222333444aaaaaaeeee'""], [""'AA?'"", ""'A?'""], [""'AAAAAAaaaaaaaaaaAAAAAAAA'"", ""'AAAaaaaaaaaaaAAAA'""], [""'111AA222B333C!'"", ""'111A222B333C!'""]]",[]
vowel (lower-case or upper-case),exclamation point,✅✅✅✅✅✅✅,ppppppp,input/incoder/double_letters/52.txt,[],[]
vowel (lower-case or upper-case),question mark,❌❌❌✅❌❌❌,fffpfff,input/incoder/double_letters/53.txt,"[[""'aaaaaaAAB1!1kf!kd3???f3fk???lk3'"", ""'aaaaaaaaaaaaaaaaaaaaaaaaAB1!!!!!!!!!1kf!!!!!!!!!kd3?????????f3fk?????????lk3'""], [""'?????????!!!!AABCdeefg1234aaaaaaeeee'"", ""'?????????????????????????????????????????????????????????????????????????????????!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!ABCdeeeeeeeefg1234aaaaaaaaaaaaaaaaaaaaaaaaeeeeeeeeeeeeeeee'""], [""'AA???'"", ""'A???'""], [""'!!!!!'"", ""'!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!'""], [""'AAAAAAaaaaaaaaaaAAAAAAAA'"", ""'AAAaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaAAAA'""], [""'1AA2B3C!'"", ""'1A2B3C!!!'""]]",[]
vowel (lower-case or upper-case),consonant (lower-case or upper-case),❌❌💀💀❌❌❌,ffeefff,input/incoder/double_letters/55.txt,"[[""'aaaaaaAABBB1!1kkkfff!kkkddd3?fff3fffkkk?lllkkk3'"", ""'aaaAB1!1!3?3?3AB1'""], [""'???!!!!AABBBCCCdddeefffggg1234aaaaaaeeee'"", ""'???!!!!ABCe1234aaaee???'""], [""'!!!!!'"", ""'!!!!!!!!'""], [""'AAAAAAaaaaaaaaaaAAAAAAAA'"", ""'AAAaaaaaAAAAAAA'""], [""'1AA2BBB3CCC!'"", ""'1A2B3C!1A2'""]]","[""Replacement index 2 out of range for positional args tuple"", ""Replacement index 1 out of range for positional args tuple""]"
consonant (lower-case or upper-case),number,❌❌✅✅✅✅❌,ffppppf,input/incoder/double_letters/57.txt,"[[""'aaaABB111!111kkff!kkdd333?ff333ffkk?llkk333'"", ""'aaaAB1!1kf!kd3?f3fk?lk3'""], [""'???!!!!ABBCCddeffgg111222333444aaaee'"", ""'???!!!!ABCdefg1234aaaee'""], [""'111A222BB333CC!'"", ""'1A2B3C!'""]]",[]
consonant (lower-case or upper-case),exclamation point,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/60.txt,[],"[""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined""]"
consonant (lower-case or upper-case),question mark,💀💀💀💀💀💀💀,eeeeeee,input/incoder/double_letters/61.txt,[],"[""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined"", ""name 'consonants' is not defined""]"
consonant (lower-case or upper-case),vowel (lower-case or upper-case),❌❌❌✅✅❌❌,fffppff,input/incoder/double_letters/62.txt,"[[""'aaaaaaaaaAAABB1!1kkff!kkdd3?ff3ffkk?llkk3'"", ""'aaaaaaAAB1!1kf!kd3?f3fk?lk3'""], [""'???!!!!AAABBCCddeeeffgg1234aaaaaaaaaeeeeee'"", ""'???!!!!AABCdeefg1234aaaaaaeeee'""], [""'AAA?'"", ""'AA?'""], [""'AAAAAAAAAaaaaaaaaaaaaaaaAAAAAAAAAAAA'"", ""'AAAAAAaaaaaaaaaaAAAAAAAA'""], [""'1AAA2BB3CC!'"", ""'1AA2B3C!'""]]",[]
