factor1,factor2,result_emojis,result,model_input,failed_inputs,errors
4,twenty-three,✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌✅❌✅❌❌✅❌✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌❌✅✅✅❌❌❌✅❌❌❌❌✅✅❌✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌✅❌✅❌❌✅✅✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌✅❌❌✅✅❌✅✅❌❌❌❌✅,ppffffpfffppppffpfpffpfpfpffpfpffpfpppffpfpfffpppfffpffffppfppffffpfffppppffpfpffpppfpffpfpffpfpppffpfpffppppfffpfpffppfppffffp,input/incoder/fizzbuzz/14.txt,"[[""3"", ""'Fizz'""], [""'Fizz'"", ""4""], [""5"", ""'Buzz'""], [""6"", ""'Fizz'""], [""'Fizz'"", ""8""], [""9"", ""'Fizz'""], [""10"", ""'Buzz'""], [""15"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""18"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""21"", ""'Fizz'""], [""'Buzz'"", ""23""], [""25"", ""'Buzz'""], [""27"", ""'Fizz'""], [""'Fizz'"", ""28""], [""30"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""33"", ""'Fizz'""], [""35"", ""'Buzz'""], [""39"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""42"", ""'Fizz'""], [""'Fizz'"", ""44""], [""45"", ""'FizzBuzz'""], [""'Buzz'"", ""46""], [""50"", ""'Buzz'""], [""51"", ""'Fizz'""], [""'Fizz'"", ""52""], [""54"", ""'Fizz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""56""], [""57"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""63"", ""'Fizz'""], [""'Fizz'"", ""64""], [""65"", ""'Buzz'""], [""66"", ""'Fizz'""], [""'Fizz'"", ""68""], [""'Buzz'"", ""'Fizz'""], [""70"", ""'Buzz'""], [""75"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""78"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""81"", ""'Fizz'""], [""85"", ""'Buzz'""], [""87"", ""'Fizz'""], [""'Fizz'"", ""88""], [""90"", ""'FizzBuzz'""], [""'FizzBuzz'"", ""92""], [""93"", ""'Fizz'""], [""95"", ""'Buzz'""], [""99"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""102"", ""'Fizz'""], [""'Fizz'"", ""104""], [""105"", ""'FizzBuzz'""], [""110"", ""'Buzz'""], [""111"", ""'Fizz'""], [""'Fizz'"", ""112""], [""114"", ""'Fizz'""], [""'Fizz'"", ""116""], [""117"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""123"", ""'Fizz'""], [""'Fizz'"", ""124""], [""125"", ""'Buzz'""], [""126"", ""'Fizz'""]]",[]
4,a hundred and seventeen,✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌✅❌✅❌❌✅✅✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌❌❌❌✅✅❌✅✅❌❌❌❌✅❌❌❌✅✅✅✅❌❌✅❌✅❌❌✅✅✅❌✅❌❌✅❌✅❌❌✅❌✅✅✅❌❌✅❌✅❌❌✅✅✅✅❌❌❌✅❌❌❌❌✅✅❌✅✅❌❌❌❌✅,ppffffpfffppppffpfpffpppfpffpfpffpfpppffpfpffppppfffpffffppfppffffpfffppppffpfpffpppfpffpfpffpfpppffpfpffppppfffpffffppfppffffp,input/incoder/fizzbuzz/15.txt,"[[""3"", ""'Fizz'""], [""'Fizz'"", ""4""], [""5"", ""'Buzz'""], [""6"", ""'Fizz'""], [""'Fizz'"", ""8""], [""9"", ""'Fizz'""], [""10"", ""'Buzz'""], [""15"", ""'FizzBuzz'""], [""'Fizz'"", ""16""], [""18"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""21"", ""'Fizz'""], [""25"", ""'Buzz'""], [""27"", ""'Fizz'""], [""'Fizz'"", ""28""], [""30"", ""'FizzBuzz'""], [""'Fizz'"", ""32""], [""33"", ""'Fizz'""], [""35"", ""'Buzz'""], [""39"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""42"", ""'Fizz'""], [""'Fizz'"", ""44""], [""45"", ""'FizzBuzz'""], [""50"", ""'Buzz'""], [""51"", ""'Fizz'""], [""'Fizz'"", ""52""], [""54"", ""'Fizz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""56""], [""57"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""63"", ""'Fizz'""], [""'Fizz'"", ""64""], [""65"", ""'Buzz'""], [""66"", ""'Fizz'""], [""'Fizz'"", ""68""], [""69"", ""'Fizz'""], [""70"", ""'Buzz'""], [""75"", ""'FizzBuzz'""], [""'Fizz'"", ""76""], [""78"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""81"", ""'Fizz'""], [""85"", ""'Buzz'""], [""87"", ""'Fizz'""], [""'Fizz'"", ""88""], [""90"", ""'FizzBuzz'""], [""'Fizz'"", ""92""], [""93"", ""'Fizz'""], [""95"", ""'Buzz'""], [""99"", ""'Fizz'""], [""'Fizz'"", ""'Buzz'""], [""102"", ""'Fizz'""], [""'Fizz'"", ""104""], [""105"", ""'FizzBuzz'""], [""110"", ""'Buzz'""], [""111"", ""'Fizz'""], [""'Fizz'"", ""112""], [""114"", ""'Fizz'""], [""115"", ""'Buzz'""], [""'Fizz'"", ""116""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""123"", ""'Fizz'""], [""'Fizz'"", ""124""], [""125"", ""'Buzz'""], [""126"", ""'Fizz'""]]",[]
144546,5,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/16.txt,[],[]
144546,11,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/18.txt,[],[]
144546,17,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/19.txt,[],[]
144546,23,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/20.txt,[],[]
144546,twenty-three,💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,input/incoder/fizzbuzz/22.txt,[],"[""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined"", ""name 'twenty_threes' is not defined""]"
three,5,❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌❌✅✅❌✅❌❌✅❌❌✅❌✅✅❌,ffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppffppfpffpffpfppf,input/incoder/fizzbuzz/24.txt,"[[""1"", ""'1'""], [""2"", ""'2'""], [""4"", ""'4'""], [""7"", ""'7'""], [""8"", ""'8'""], [""11"", ""'11'""], [""13"", ""'13'""], [""14"", ""'14'""], [""16"", ""'16'""], [""17"", ""'17'""], [""19"", ""'19'""], [""22"", ""'22'""], [""23"", ""'23'""], [""26"", ""'26'""], [""28"", ""'28'""], [""29"", ""'29'""], [""31"", ""'31'""], [""32"", ""'32'""], [""34"", ""'34'""], [""37"", ""'37'""], [""38"", ""'38'""], [""41"", ""'41'""], [""43"", ""'43'""], [""44"", ""'44'""], [""46"", ""'46'""], [""47"", ""'47'""], [""49"", ""'49'""], [""52"", ""'52'""], [""53"", ""'53'""], [""56"", ""'56'""], [""58"", ""'58'""], [""59"", ""'59'""], [""61"", ""'61'""], [""62"", ""'62'""], [""64"", ""'64'""], [""67"", ""'67'""], [""68"", ""'68'""], [""71"", ""'71'""], [""73"", ""'73'""], [""74"", ""'74'""], [""76"", ""'76'""], [""77"", ""'77'""], [""79"", ""'79'""], [""82"", ""'82'""], [""83"", ""'83'""], [""86"", ""'86'""], [""88"", ""'88'""], [""89"", ""'89'""], [""91"", ""'91'""], [""92"", ""'92'""], [""94"", ""'94'""], [""97"", ""'97'""], [""98"", ""'98'""], [""101"", ""'101'""], [""103"", ""'103'""], [""104"", ""'104'""], [""106"", ""'106'""], [""107"", ""'107'""], [""109"", ""'109'""], [""112"", ""'112'""], [""113"", ""'113'""], [""116"", ""'116'""], [""118"", ""'118'""], [""119"", ""'119'""], [""121"", ""'121'""], [""122"", ""'122'""], [""124"", ""'124'""], [""127"", ""'127'""]]",[]
three,11,❌❌✅❌❌✅❌❌✅❌✅✅❌❌✅❌❌✅❌❌✅✅❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌✅✅❌❌✅❌❌✅❌❌✅✅❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌✅✅❌❌✅❌❌✅❌❌✅✅❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌❌✅❌✅✅❌❌✅❌❌✅❌❌✅✅❌✅❌❌✅❌,ffpffpffpfppffpffpffppfpffpffpffpffpffpffpfppffpffpffppfpffpffpffpffpffpffpfppffpffpffppfpffpffpffpffpffpffpfppffpffpffppfpffpf,input/incoder/fizzbuzz/26.txt,"[[""1"", ""'1'""], [""2"", ""'2'""], [""4"", ""'4'""], [""5"", ""'5'""], [""7"", ""'7'""], [""8"", ""'8'""], [""10"", ""'10'""], [""13"", ""'13'""], [""14"", ""'14'""], [""16"", ""'16'""], [""17"", ""'17'""], [""19"", ""'19'""], [""20"", ""'20'""], [""23"", ""'23'""], [""25"", ""'25'""], [""26"", ""'26'""], [""28"", ""'28'""], [""29"", ""'29'""], [""31"", ""'31'""], [""32"", ""'32'""], [""34"", ""'34'""], [""35"", ""'35'""], [""37"", ""'37'""], [""38"", ""'38'""], [""40"", ""'40'""], [""41"", ""'41'""], [""43"", ""'43'""], [""46"", ""'46'""], [""47"", ""'47'""], [""49"", ""'49'""], [""50"", ""'50'""], [""52"", ""'52'""], [""53"", ""'53'""], [""56"", ""'56'""], [""58"", ""'58'""], [""59"", ""'59'""], [""61"", ""'61'""], [""62"", ""'62'""], [""64"", ""'64'""], [""65"", ""'65'""], [""67"", ""'67'""], [""68"", ""'68'""], [""70"", ""'70'""], [""71"", ""'71'""], [""73"", ""'73'""], [""74"", ""'74'""], [""76"", ""'76'""], [""79"", ""'79'""], [""80"", ""'80'""], [""82"", ""'82'""], [""83"", ""'83'""], [""85"", ""'85'""], [""86"", ""'86'""], [""89"", ""'89'""], [""91"", ""'91'""], [""92"", ""'92'""], [""94"", ""'94'""], [""95"", ""'95'""], [""97"", ""'97'""], [""98"", ""'98'""], [""100"", ""'100'""], [""101"", ""'101'""], [""103"", ""'103'""], [""104"", ""'104'""], [""106"", ""'106'""], [""107"", ""'107'""], [""109"", ""'109'""], [""112"", ""'112'""], [""113"", ""'113'""], [""115"", ""'115'""], [""116"", ""'116'""], [""118"", ""'118'""], [""119"", ""'119'""], [""122"", ""'122'""], [""124"", ""'124'""], [""125"", ""'125'""], [""127"", ""'127'""]]",[]
three,17,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/27.txt,[],[]
three,23,✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅✅,ppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp,input/incoder/fizzbuzz/28.txt,[],[]
three,twenty-three,✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅❌✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌❌✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅❌❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅❌✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅✅✅✅✅✅❌✅✅✅✅❌✅✅,ppppfppppfppppfppppfppfpfppppfppppfppppfppppffpppfppppfppppfppppfpppffppppfppppfppppfppppfpfppfppppfppppfppppfpppppppppfppppfpp,input/incoder/fizzbuzz/30.txt,"[[""5"", ""'Buzz'""], [""10"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""20"", ""'Buzz'""], [""'Buzz'"", ""23""], [""25"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""35"", ""'Buzz'""], [""40"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""46""], [""50"", ""'Buzz'""], [""55"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""65"", ""'Buzz'""], [""'FizzBuzz'"", ""'Fizz'""], [""70"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""80"", ""'Buzz'""], [""85"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""92""], [""95"", ""'Buzz'""], [""100"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""110"", ""'Buzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""125"", ""'Buzz'""]]",[]
five,3,✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅✅❌❌✅❌✅✅✅✅✅❌✅❌❌✅,ppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffppffpfpppppfpffp,input/incoder/fizzbuzz/33.txt,"[[""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""], [""'Buzz'"", ""'Fizz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Buzz'"", ""'Fizz'""]]",[]
five,11,✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅✅✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅✅✅✅✅✅✅✅❌✅✅✅✅❌✅✅✅✅❌✅✅,ppppfppppfppppfppppfppppfppppfppppfppppfppppfppppfpppppppppfppppfppppfppppfppppfppppfppppfppppfppppfppppfpppppppppfppppfppppfpp,input/incoder/fizzbuzz/34.txt,"[[""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""], [""'Fizz'"", ""'FizzBuzz'""]]",[]
