hash_type,transform,example_input,input,result,result_emojis,model_output,model_input,expected,actual
md5,dash,Hello world,A B C,p,✅,outputs/tlh/hash/13/0.py,input/tlh/hash/13.txt,,
md5,dash,Hello world,password,p,✅,outputs/tlh/hash/13/0.py,input/tlh/hash/13.txt,,
md5,dash,Hello world,,f,❌,outputs/tlh/hash/13/0.py,input/tlh/hash/13.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,Hallo welt,Hello world,p,✅,outputs/tlh/hash/14/0.py,input/tlh/hash/14.txt,,
md5,dash,Hallo welt,A B C,p,✅,outputs/tlh/hash/14/0.py,input/tlh/hash/14.txt,,
md5,dash,Hallo welt,password,p,✅,outputs/tlh/hash/14/0.py,input/tlh/hash/14.txt,,
md5,dash,Hallo welt,,f,❌,outputs/tlh/hash/14/0.py,input/tlh/hash/14.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,0,Hello world,p,✅,outputs/tlh/hash/15/0.py,input/tlh/hash/15.txt,,
md5,dash,0,A B C,p,✅,outputs/tlh/hash/15/0.py,input/tlh/hash/15.txt,,
md5,dash,0,password,p,✅,outputs/tlh/hash/15/0.py,input/tlh/hash/15.txt,,
md5,dash,0,,f,❌,outputs/tlh/hash/15/0.py,input/tlh/hash/15.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,sha1,Hello world,p,✅,outputs/tlh/hash/16/0.py,input/tlh/hash/16.txt,,
md5,dash,sha1,A B C,p,✅,outputs/tlh/hash/16/0.py,input/tlh/hash/16.txt,,
md5,dash,sha1,password,p,✅,outputs/tlh/hash/16/0.py,input/tlh/hash/16.txt,,
md5,dash,sha1,,f,❌,outputs/tlh/hash/16/0.py,input/tlh/hash/16.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
md5,dash,md5,Hello world,p,✅,outputs/tlh/hash/17/0.py,input/tlh/hash/17.txt,,
md5,dash,md5,A B C,p,✅,outputs/tlh/hash/17/0.py,input/tlh/hash/17.txt,,
md5,dash,md5,password,p,✅,outputs/tlh/hash/17/0.py,input/tlh/hash/17.txt,,
md5,dash,md5,,f,❌,outputs/tlh/hash/17/0.py,input/tlh/hash/17.txt,None,'d41d8cd98f00b204e9800998ecf8427e'
sha1,none,,Hello world,p,✅,outputs/tlh/hash/18/0.py,input/tlh/hash/18.txt,,
sha1,none,,A B C,p,✅,outputs/tlh/hash/18/0.py,input/tlh/hash/18.txt,,
sha1,none,,password,p,✅,outputs/tlh/hash/18/0.py,input/tlh/hash/18.txt,,
sha1,none,,,f,❌,outputs/tlh/hash/18/0.py,input/tlh/hash/18.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,none,Hello world,Hello world,p,✅,outputs/tlh/hash/19/0.py,input/tlh/hash/19.txt,,
sha1,none,Hello world,A B C,p,✅,outputs/tlh/hash/19/0.py,input/tlh/hash/19.txt,,
sha1,none,Hello world,password,p,✅,outputs/tlh/hash/19/0.py,input/tlh/hash/19.txt,,
sha1,none,Hello world,,f,❌,outputs/tlh/hash/19/0.py,input/tlh/hash/19.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,none,Hallo welt,Hello world,p,✅,outputs/tlh/hash/20/0.py,input/tlh/hash/20.txt,,
sha1,none,Hallo welt,A B C,p,✅,outputs/tlh/hash/20/0.py,input/tlh/hash/20.txt,,
sha1,none,Hallo welt,password,p,✅,outputs/tlh/hash/20/0.py,input/tlh/hash/20.txt,,
sha1,none,Hallo welt,,f,❌,outputs/tlh/hash/20/0.py,input/tlh/hash/20.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,none,0,Hello world,p,✅,outputs/tlh/hash/21/0.py,input/tlh/hash/21.txt,,
sha1,none,0,A B C,p,✅,outputs/tlh/hash/21/0.py,input/tlh/hash/21.txt,,
sha1,none,0,password,p,✅,outputs/tlh/hash/21/0.py,input/tlh/hash/21.txt,,
sha1,none,0,,f,❌,outputs/tlh/hash/21/0.py,input/tlh/hash/21.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,none,sha1,Hello world,p,✅,outputs/tlh/hash/22/0.py,input/tlh/hash/22.txt,,
sha1,none,sha1,A B C,p,✅,outputs/tlh/hash/22/0.py,input/tlh/hash/22.txt,,
sha1,none,sha1,password,p,✅,outputs/tlh/hash/22/0.py,input/tlh/hash/22.txt,,
sha1,none,sha1,,f,❌,outputs/tlh/hash/22/0.py,input/tlh/hash/22.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,none,md5,Hello world,p,✅,outputs/tlh/hash/23/0.py,input/tlh/hash/23.txt,,
sha1,none,md5,A B C,p,✅,outputs/tlh/hash/23/0.py,input/tlh/hash/23.txt,,
sha1,none,md5,password,p,✅,outputs/tlh/hash/23/0.py,input/tlh/hash/23.txt,,
sha1,none,md5,,f,❌,outputs/tlh/hash/23/0.py,input/tlh/hash/23.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,,Hello world,p,✅,outputs/tlh/hash/24/0.py,input/tlh/hash/24.txt,,
sha1,uppercase,,A B C,p,✅,outputs/tlh/hash/24/0.py,input/tlh/hash/24.txt,,
sha1,uppercase,,password,p,✅,outputs/tlh/hash/24/0.py,input/tlh/hash/24.txt,,
sha1,uppercase,,,f,❌,outputs/tlh/hash/24/0.py,input/tlh/hash/24.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,Hello world,Hello world,p,✅,outputs/tlh/hash/25/0.py,input/tlh/hash/25.txt,,
sha1,uppercase,Hello world,A B C,p,✅,outputs/tlh/hash/25/0.py,input/tlh/hash/25.txt,,
sha1,uppercase,Hello world,password,p,✅,outputs/tlh/hash/25/0.py,input/tlh/hash/25.txt,,
sha1,uppercase,Hello world,,f,❌,outputs/tlh/hash/25/0.py,input/tlh/hash/25.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,Hallo welt,Hello world,p,✅,outputs/tlh/hash/26/0.py,input/tlh/hash/26.txt,,
sha1,uppercase,Hallo welt,A B C,p,✅,outputs/tlh/hash/26/0.py,input/tlh/hash/26.txt,,
sha1,uppercase,Hallo welt,password,p,✅,outputs/tlh/hash/26/0.py,input/tlh/hash/26.txt,,
sha1,uppercase,Hallo welt,,f,❌,outputs/tlh/hash/26/0.py,input/tlh/hash/26.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,0,Hello world,p,✅,outputs/tlh/hash/27/0.py,input/tlh/hash/27.txt,,
sha1,uppercase,0,A B C,p,✅,outputs/tlh/hash/27/0.py,input/tlh/hash/27.txt,,
sha1,uppercase,0,password,p,✅,outputs/tlh/hash/27/0.py,input/tlh/hash/27.txt,,
sha1,uppercase,0,,f,❌,outputs/tlh/hash/27/0.py,input/tlh/hash/27.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,sha1,Hello world,p,✅,outputs/tlh/hash/28/0.py,input/tlh/hash/28.txt,,
sha1,uppercase,sha1,A B C,p,✅,outputs/tlh/hash/28/0.py,input/tlh/hash/28.txt,,
sha1,uppercase,sha1,password,p,✅,outputs/tlh/hash/28/0.py,input/tlh/hash/28.txt,,
sha1,uppercase,sha1,,f,❌,outputs/tlh/hash/28/0.py,input/tlh/hash/28.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,uppercase,md5,Hello world,p,✅,outputs/tlh/hash/29/0.py,input/tlh/hash/29.txt,,
sha1,uppercase,md5,A B C,p,✅,outputs/tlh/hash/29/0.py,input/tlh/hash/29.txt,,
sha1,uppercase,md5,password,p,✅,outputs/tlh/hash/29/0.py,input/tlh/hash/29.txt,,
sha1,uppercase,md5,,f,❌,outputs/tlh/hash/29/0.py,input/tlh/hash/29.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,dash,,Hello world,e,💀,outputs/tlh/hash/30/0.py,input/tlh/hash/30.txt,,
sha1,dash,,A B C,e,💀,outputs/tlh/hash/30/0.py,input/tlh/hash/30.txt,,
sha1,dash,,password,e,💀,outputs/tlh/hash/30/0.py,input/tlh/hash/30.txt,,
sha1,dash,,,e,💀,outputs/tlh/hash/30/0.py,input/tlh/hash/30.txt,,
sha1,dash,Hello world,Hello world,p,✅,outputs/tlh/hash/31/0.py,input/tlh/hash/31.txt,,
sha1,dash,Hello world,A B C,p,✅,outputs/tlh/hash/31/0.py,input/tlh/hash/31.txt,,
sha1,dash,Hello world,password,p,✅,outputs/tlh/hash/31/0.py,input/tlh/hash/31.txt,,
sha1,dash,Hello world,,f,❌,outputs/tlh/hash/31/0.py,input/tlh/hash/31.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,dash,Hallo welt,Hello world,p,✅,outputs/tlh/hash/32/0.py,input/tlh/hash/32.txt,,
sha1,dash,Hallo welt,A B C,p,✅,outputs/tlh/hash/32/0.py,input/tlh/hash/32.txt,,
sha1,dash,Hallo welt,password,p,✅,outputs/tlh/hash/32/0.py,input/tlh/hash/32.txt,,
sha1,dash,Hallo welt,,f,❌,outputs/tlh/hash/32/0.py,input/tlh/hash/32.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,dash,0,Hello world,p,✅,outputs/tlh/hash/33/0.py,input/tlh/hash/33.txt,,
sha1,dash,0,A B C,p,✅,outputs/tlh/hash/33/0.py,input/tlh/hash/33.txt,,
sha1,dash,0,password,p,✅,outputs/tlh/hash/33/0.py,input/tlh/hash/33.txt,,
sha1,dash,0,,f,❌,outputs/tlh/hash/33/0.py,input/tlh/hash/33.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,dash,sha1,Hello world,p,✅,outputs/tlh/hash/34/0.py,input/tlh/hash/34.txt,,
sha1,dash,sha1,A B C,p,✅,outputs/tlh/hash/34/0.py,input/tlh/hash/34.txt,,
sha1,dash,sha1,password,p,✅,outputs/tlh/hash/34/0.py,input/tlh/hash/34.txt,,
sha1,dash,sha1,,f,❌,outputs/tlh/hash/34/0.py,input/tlh/hash/34.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha1,dash,md5,Hello world,p,✅,outputs/tlh/hash/35/0.py,input/tlh/hash/35.txt,,
sha1,dash,md5,A B C,p,✅,outputs/tlh/hash/35/0.py,input/tlh/hash/35.txt,,
sha1,dash,md5,password,p,✅,outputs/tlh/hash/35/0.py,input/tlh/hash/35.txt,,
sha1,dash,md5,,f,❌,outputs/tlh/hash/35/0.py,input/tlh/hash/35.txt,None,'da39a3ee5e6b4b0d3255bfef95601890afd80709'
sha224,none,,Hello world,p,✅,outputs/tlh/hash/36/0.py,input/tlh/hash/36.txt,,
sha224,none,,A B C,p,✅,outputs/tlh/hash/36/0.py,input/tlh/hash/36.txt,,
sha224,none,,password,p,✅,outputs/tlh/hash/36/0.py,input/tlh/hash/36.txt,,
sha224,none,,,f,❌,outputs/tlh/hash/36/0.py,input/tlh/hash/36.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,none,Hello world,Hello world,p,✅,outputs/tlh/hash/37/0.py,input/tlh/hash/37.txt,,
sha224,none,Hello world,A B C,p,✅,outputs/tlh/hash/37/0.py,input/tlh/hash/37.txt,,
sha224,none,Hello world,password,p,✅,outputs/tlh/hash/37/0.py,input/tlh/hash/37.txt,,
sha224,none,Hello world,,f,❌,outputs/tlh/hash/37/0.py,input/tlh/hash/37.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,none,Hallo welt,Hello world,p,✅,outputs/tlh/hash/38/0.py,input/tlh/hash/38.txt,,
sha224,none,Hallo welt,A B C,p,✅,outputs/tlh/hash/38/0.py,input/tlh/hash/38.txt,,
sha224,none,Hallo welt,password,p,✅,outputs/tlh/hash/38/0.py,input/tlh/hash/38.txt,,
sha224,none,Hallo welt,,f,❌,outputs/tlh/hash/38/0.py,input/tlh/hash/38.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,none,0,Hello world,p,✅,outputs/tlh/hash/39/0.py,input/tlh/hash/39.txt,,
sha224,none,0,A B C,p,✅,outputs/tlh/hash/39/0.py,input/tlh/hash/39.txt,,
sha224,none,0,password,p,✅,outputs/tlh/hash/39/0.py,input/tlh/hash/39.txt,,
sha224,none,0,,f,❌,outputs/tlh/hash/39/0.py,input/tlh/hash/39.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,none,sha1,Hello world,p,✅,outputs/tlh/hash/40/0.py,input/tlh/hash/40.txt,,
sha224,none,sha1,A B C,p,✅,outputs/tlh/hash/40/0.py,input/tlh/hash/40.txt,,
sha224,none,sha1,password,p,✅,outputs/tlh/hash/40/0.py,input/tlh/hash/40.txt,,
sha224,none,sha1,,f,❌,outputs/tlh/hash/40/0.py,input/tlh/hash/40.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,none,md5,Hello world,p,✅,outputs/tlh/hash/41/0.py,input/tlh/hash/41.txt,,
sha224,none,md5,A B C,p,✅,outputs/tlh/hash/41/0.py,input/tlh/hash/41.txt,,
sha224,none,md5,password,p,✅,outputs/tlh/hash/41/0.py,input/tlh/hash/41.txt,,
sha224,none,md5,,f,❌,outputs/tlh/hash/41/0.py,input/tlh/hash/41.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,,Hello world,p,✅,outputs/tlh/hash/42/0.py,input/tlh/hash/42.txt,,
sha224,uppercase,,A B C,p,✅,outputs/tlh/hash/42/0.py,input/tlh/hash/42.txt,,
sha224,uppercase,,password,p,✅,outputs/tlh/hash/42/0.py,input/tlh/hash/42.txt,,
sha224,uppercase,,,f,❌,outputs/tlh/hash/42/0.py,input/tlh/hash/42.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,Hello world,Hello world,p,✅,outputs/tlh/hash/43/0.py,input/tlh/hash/43.txt,,
sha224,uppercase,Hello world,A B C,p,✅,outputs/tlh/hash/43/0.py,input/tlh/hash/43.txt,,
sha224,uppercase,Hello world,password,p,✅,outputs/tlh/hash/43/0.py,input/tlh/hash/43.txt,,
sha224,uppercase,Hello world,,f,❌,outputs/tlh/hash/43/0.py,input/tlh/hash/43.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,Hallo welt,Hello world,p,✅,outputs/tlh/hash/44/0.py,input/tlh/hash/44.txt,,
sha224,uppercase,Hallo welt,A B C,p,✅,outputs/tlh/hash/44/0.py,input/tlh/hash/44.txt,,
sha224,uppercase,Hallo welt,password,p,✅,outputs/tlh/hash/44/0.py,input/tlh/hash/44.txt,,
sha224,uppercase,Hallo welt,,f,❌,outputs/tlh/hash/44/0.py,input/tlh/hash/44.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,0,Hello world,p,✅,outputs/tlh/hash/45/0.py,input/tlh/hash/45.txt,,
sha224,uppercase,0,A B C,p,✅,outputs/tlh/hash/45/0.py,input/tlh/hash/45.txt,,
sha224,uppercase,0,password,p,✅,outputs/tlh/hash/45/0.py,input/tlh/hash/45.txt,,
sha224,uppercase,0,,f,❌,outputs/tlh/hash/45/0.py,input/tlh/hash/45.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,sha1,Hello world,p,✅,outputs/tlh/hash/46/0.py,input/tlh/hash/46.txt,,
sha224,uppercase,sha1,A B C,p,✅,outputs/tlh/hash/46/0.py,input/tlh/hash/46.txt,,
sha224,uppercase,sha1,password,p,✅,outputs/tlh/hash/46/0.py,input/tlh/hash/46.txt,,
sha224,uppercase,sha1,,f,❌,outputs/tlh/hash/46/0.py,input/tlh/hash/46.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,uppercase,md5,Hello world,p,✅,outputs/tlh/hash/47/0.py,input/tlh/hash/47.txt,,
sha224,uppercase,md5,A B C,p,✅,outputs/tlh/hash/47/0.py,input/tlh/hash/47.txt,,
sha224,uppercase,md5,password,p,✅,outputs/tlh/hash/47/0.py,input/tlh/hash/47.txt,,
sha224,uppercase,md5,,f,❌,outputs/tlh/hash/47/0.py,input/tlh/hash/47.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,dash,,Hello world,p,✅,outputs/tlh/hash/48/0.py,input/tlh/hash/48.txt,,
sha224,dash,,A B C,p,✅,outputs/tlh/hash/48/0.py,input/tlh/hash/48.txt,,
sha224,dash,,password,p,✅,outputs/tlh/hash/48/0.py,input/tlh/hash/48.txt,,
sha224,dash,,,f,❌,outputs/tlh/hash/48/0.py,input/tlh/hash/48.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,dash,Hello world,Hello world,p,✅,outputs/tlh/hash/49/0.py,input/tlh/hash/49.txt,,
sha224,dash,Hello world,A B C,p,✅,outputs/tlh/hash/49/0.py,input/tlh/hash/49.txt,,
sha224,dash,Hello world,password,p,✅,outputs/tlh/hash/49/0.py,input/tlh/hash/49.txt,,
sha224,dash,Hello world,,f,❌,outputs/tlh/hash/49/0.py,input/tlh/hash/49.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,dash,Hallo welt,Hello world,p,✅,outputs/tlh/hash/50/0.py,input/tlh/hash/50.txt,,
sha224,dash,Hallo welt,A B C,p,✅,outputs/tlh/hash/50/0.py,input/tlh/hash/50.txt,,
sha224,dash,Hallo welt,password,p,✅,outputs/tlh/hash/50/0.py,input/tlh/hash/50.txt,,
sha224,dash,Hallo welt,,f,❌,outputs/tlh/hash/50/0.py,input/tlh/hash/50.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,dash,0,Hello world,p,✅,outputs/tlh/hash/51/0.py,input/tlh/hash/51.txt,,
sha224,dash,0,A B C,p,✅,outputs/tlh/hash/51/0.py,input/tlh/hash/51.txt,,
sha224,dash,0,password,p,✅,outputs/tlh/hash/51/0.py,input/tlh/hash/51.txt,,
sha224,dash,0,,f,❌,outputs/tlh/hash/51/0.py,input/tlh/hash/51.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha224,dash,sha1,Hello world,e,💀,outputs/tlh/hash/52/0.py,input/tlh/hash/52.txt,,
sha224,dash,sha1,A B C,e,💀,outputs/tlh/hash/52/0.py,input/tlh/hash/52.txt,,
sha224,dash,sha1,password,e,💀,outputs/tlh/hash/52/0.py,input/tlh/hash/52.txt,,
sha224,dash,sha1,,e,💀,outputs/tlh/hash/52/0.py,input/tlh/hash/52.txt,,
sha224,dash,md5,Hello world,p,✅,outputs/tlh/hash/53/0.py,input/tlh/hash/53.txt,,
sha224,dash,md5,A B C,p,✅,outputs/tlh/hash/53/0.py,input/tlh/hash/53.txt,,
sha224,dash,md5,password,p,✅,outputs/tlh/hash/53/0.py,input/tlh/hash/53.txt,,
sha224,dash,md5,,f,❌,outputs/tlh/hash/53/0.py,input/tlh/hash/53.txt,None,'d14a028c2a3a2bc9476102bb288234c415a2b01f828ea62ac5b3e42f'
sha256,none,,Hello world,p,✅,outputs/tlh/hash/54/0.py,input/tlh/hash/54.txt,,
sha256,none,,A B C,p,✅,outputs/tlh/hash/54/0.py,input/tlh/hash/54.txt,,
sha256,none,,password,p,✅,outputs/tlh/hash/54/0.py,input/tlh/hash/54.txt,,
sha256,none,,,f,❌,outputs/tlh/hash/54/0.py,input/tlh/hash/54.txt,None,'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
sha256,none,Hello world,Hello world,p,✅,outputs/tlh/hash/55/0.py,input/tlh/hash/55.txt,,
sha256,none,Hello world,A B C,p,✅,outputs/tlh/hash/55/0.py,input/tlh/hash/55.txt,,
sha256,none,Hello world,password,p,✅,outputs/tlh/hash/55/0.py,input/tlh/hash/55.txt,,
sha256,none,Hello world,,f,❌,outputs/tlh/hash/55/0.py,input/tlh/hash/55.txt,None,'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
sha256,none,Hallo welt,Hello world,p,✅,outputs/tlh/hash/56/0.py,input/tlh/hash/56.txt,,
sha256,none,Hallo welt,A B C,p,✅,outputs/tlh/hash/56/0.py,input/tlh/hash/56.txt,,
sha256,none,Hallo welt,password,p,✅,outputs/tlh/hash/56/0.py,input/tlh/hash/56.txt,,
sha256,none,Hallo welt,,f,❌,outputs/tlh/hash/56/0.py,input/tlh/hash/56.txt,None,'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
sha256,none,0,Hello world,p,✅,outputs/tlh/hash/57/0.py,input/tlh/hash/57.txt,,
sha256,none,0,A B C,p,✅,outputs/tlh/hash/57/0.py,input/tlh/hash/57.txt,,
sha256,none,0,password,p,✅,outputs/tlh/hash/57/0.py,input/tlh/hash/57.txt,,
sha256,none,0,,f,❌,outputs/tlh/hash/57/0.py,input/tlh/hash/57.txt,None,'e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855'
sha256,none,sha1,Hello world,p,✅,outputs/tlh/hash/58/0.py,input/tlh/hash/58.txt,,
sha256,none,sha1,A B C,p,✅,outputs/tlh/hash/58/0.py,input/tlh/hash/58.txt,,
sha256,none,sha1,password,p,✅,outputs/tlh/hash/58/0.py,input/tlh/hash/58.txt,,
