small_ret,large_ret,default_ret,small_limit,large_limit,result_emojis,result,model_input,failed_inputs,errors
small,house,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/96.txt,[],[]
small,house,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/97.txt,[],[]
small,house,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/98.txt,[],[]
small,house,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/99.txt,[],[]
small,house,,2,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/102.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,,2,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/103.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,,10,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/106.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,,10,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/107.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,,1000,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/111.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/112.txt,[],[]
small,house,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/113.txt,[],[]
small,house,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/114.txt,[],[]
small,house,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/codex/small_or_large/115.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
small,house,None,2,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/118.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,2,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/119.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,10,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/122.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,10,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/123.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,None,1000,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/127.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/128.txt,[],[]
small,house,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/129.txt,[],[]
small,house,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/130.txt,[],[]
small,house,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/131.txt,[],[]
small,house,neither,2,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/134.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,2,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/135.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,10,15,✅✅✅✅❌❌❌❌,ppppffff,input/codex/small_or_large/138.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,10,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/139.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
small,house,neither,1000,2000,✅✅✅✅✅✅❌❌,ppppppff,input/codex/small_or_large/143.txt,"[[""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,small,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/192.txt,[],[]
large,small,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/193.txt,[],[]
large,small,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/194.txt,[],[]
large,small,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/195.txt,[],[]
large,small,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/198.txt,[],[]
large,small,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/199.txt,[],[]
large,small,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/202.txt,[],[]
large,small,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/203.txt,[],[]
large,small,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/207.txt,[],[]
large,small,None,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/208.txt,[],[]
large,small,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/209.txt,[],[]
large,small,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/210.txt,[],[]
large,small,None,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/211.txt,[],[]
large,small,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/214.txt,[],[]
large,small,None,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/215.txt,[],[]
large,small,None,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/218.txt,[],[]
large,small,None,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/219.txt,[],[]
large,small,None,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/223.txt,[],[]
large,small,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/224.txt,[],[]
large,small,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/225.txt,[],[]
large,small,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/226.txt,[],[]
large,small,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/227.txt,[],[]
large,small,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/230.txt,[],[]
large,small,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/231.txt,[],[]
large,small,neither,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/234.txt,[],[]
large,small,neither,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/235.txt,[],[]
large,small,neither,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/239.txt,[],[]
large,house,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/240.txt,[],[]
large,house,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/241.txt,[],[]
large,house,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/242.txt,[],[]
large,house,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/243.txt,[],[]
large,house,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/246.txt,[],[]
large,house,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/247.txt,[],[]
large,house,,10,15,❌❌❌✅❌❌❌❌,fffpffff,input/codex/small_or_large/250.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,10,2000,❌❌❌✅✅✅❌❌,fffpppff,input/codex/small_or_large/251.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/255.txt,[],[]
large,house,None,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/256.txt,[],[]
large,house,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/257.txt,[],[]
large,house,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/258.txt,[],[]
large,house,None,-100,2000,❌❌❌❌❌❌✅✅,ffffffpp,input/codex/small_or_large/259.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
large,house,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/262.txt,[],[]
large,house,None,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/263.txt,[],[]
large,house,None,10,15,❌❌❌✅❌❌❌❌,fffpffff,input/codex/small_or_large/266.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,10,2000,❌❌❌✅✅✅❌❌,fffpppff,input/codex/small_or_large/267.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,None,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/271.txt,[],[]
large,house,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/272.txt,[],[]
large,house,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/273.txt,[],[]
large,house,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/274.txt,[],[]
large,house,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/275.txt,[],[]
large,house,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/278.txt,[],[]
large,house,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/279.txt,[],[]
large,house,neither,10,15,❌❌❌✅❌❌❌❌,fffpffff,input/codex/small_or_large/282.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,10,2000,❌❌❌✅✅✅❌❌,fffpppff,input/codex/small_or_large/283.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
large,house,neither,1000,2000,❌❌❌❌❌✅❌❌,fffffpff,input/codex/small_or_large/287.txt,"[[""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'large'"", ""'small'""], [""'house'"", ""'large'""], [""'house'"", ""'large'""]]",[]
mouse,large,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/288.txt,[],[]
mouse,large,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/289.txt,[],[]
mouse,large,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/290.txt,[],[]
mouse,large,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/291.txt,[],[]
mouse,large,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/294.txt,[],[]
mouse,large,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/295.txt,[],[]
mouse,large,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/298.txt,[],[]
mouse,large,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/299.txt,[],[]
mouse,large,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/303.txt,[],[]
mouse,large,None,-100,-1,❌✅✅✅✅✅✅✅,fppppppp,input/codex/small_or_large/304.txt,"[[""'None'"", ""None""]]",[]
mouse,large,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/305.txt,[],[]
mouse,large,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/306.txt,[],[]
mouse,large,None,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/307.txt,[],[]
mouse,large,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/310.txt,[],[]
mouse,large,None,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/311.txt,[],[]
mouse,large,None,10,15,✅✅✅❌✅✅✅✅,pppfpppp,input/codex/small_or_large/314.txt,"[[""'None'"", ""None""]]",[]
mouse,large,None,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/315.txt,[],[]
mouse,large,None,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/319.txt,[],[]
mouse,large,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/320.txt,[],[]
mouse,large,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/321.txt,[],[]
mouse,large,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/322.txt,[],[]
mouse,large,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/323.txt,[],[]
mouse,large,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/326.txt,[],[]
mouse,large,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/327.txt,[],[]
mouse,large,neither,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/330.txt,[],[]
mouse,large,neither,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/331.txt,[],[]
mouse,large,neither,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/335.txt,[],[]
mouse,small,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/336.txt,[],[]
mouse,small,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/337.txt,[],[]
mouse,small,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/338.txt,[],[]
mouse,small,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/339.txt,[],[]
mouse,small,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/342.txt,[],[]
mouse,small,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/343.txt,[],[]
mouse,small,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/346.txt,[],[]
mouse,small,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/347.txt,[],[]
mouse,small,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/351.txt,[],[]
mouse,small,None,-100,-1,❌✅✅✅✅✅✅✅,fppppppp,input/codex/small_or_large/352.txt,"[[""'None'"", ""None""]]",[]
mouse,small,None,-100,2,❌❌❌✅✅✅✅✅,fffppppp,input/codex/small_or_large/353.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,-100,15,❌❌❌❌✅✅✅✅,ffffpppp,input/codex/small_or_large/354.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/355.txt,[],[]
mouse,small,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/358.txt,[],[]
mouse,small,None,2,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/codex/small_or_large/359.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/362.txt,[],[]
mouse,small,None,10,2000,✅✅✅❌❌❌✅✅,pppfffpp,input/codex/small_or_large/363.txt,"[[""'None'"", ""None""], [""'None'"", ""None""], [""'None'"", ""None""]]",[]
mouse,small,None,1000,2000,✅✅✅✅✅❌✅✅,pppppfpp,input/codex/small_or_large/367.txt,"[[""'None'"", ""None""]]",[]
mouse,small,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/368.txt,[],[]
mouse,small,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/369.txt,[],[]
mouse,small,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/370.txt,[],[]
mouse,small,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/371.txt,[],[]
mouse,small,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/374.txt,[],[]
mouse,small,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/375.txt,[],[]
mouse,small,neither,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/378.txt,[],[]
mouse,small,neither,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/379.txt,[],[]
mouse,small,neither,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/383.txt,[],[]
mouse,house,,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/384.txt,[],[]
mouse,house,,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/385.txt,[],[]
mouse,house,,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/386.txt,[],[]
mouse,house,,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/387.txt,[],[]
mouse,house,,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/390.txt,[],[]
mouse,house,,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/391.txt,[],[]
mouse,house,,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/394.txt,[],[]
mouse,house,,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/395.txt,[],[]
mouse,house,,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/399.txt,[],[]
mouse,house,None,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/400.txt,[],[]
mouse,house,None,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/401.txt,[],[]
mouse,house,None,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/402.txt,[],[]
mouse,house,None,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/403.txt,[],[]
mouse,house,None,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/406.txt,[],[]
mouse,house,None,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/407.txt,[],[]
mouse,house,None,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/410.txt,[],[]
mouse,house,None,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/411.txt,[],[]
mouse,house,None,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/415.txt,[],[]
mouse,house,neither,-100,-1,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/416.txt,[],[]
mouse,house,neither,-100,2,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/417.txt,[],[]
mouse,house,neither,-100,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/418.txt,[],[]
mouse,house,neither,-100,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/419.txt,[],[]
mouse,house,neither,2,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/422.txt,[],[]
mouse,house,neither,2,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/423.txt,[],[]
mouse,house,neither,10,15,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/426.txt,[],[]
mouse,house,neither,10,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/427.txt,[],[]
mouse,house,neither,1000,2000,✅✅✅✅✅✅✅✅,pppppppp,input/codex/small_or_large/431.txt,[],[]
