digit,factor2,factor3,example_input,input,expected,actual,result,result_emojis,model_input
7,13,11,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,50,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/12.txt
7,13,11,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,78,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/13.txt
7,13,11,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,100,3,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,4000,192,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,11,3298,100000,8026,None,f,❌,input/codeparrot/fizzbuzz_count/14.txt
7,13,3819,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,4000,93,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,10000,308,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,50,100000,3858,None,f,❌,input/codeparrot/fizzbuzz_count/15.txt
7,13,3819,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,4000,93,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,10000,308,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,78,100000,3858,None,f,❌,input/codeparrot/fizzbuzz_count/16.txt
7,13,3819,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,4000,93,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,10000,308,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,13,3819,3298,100000,3858,None,f,❌,input/codeparrot/fizzbuzz_count/17.txt
7,7,13,50,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,79,5,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,100,5,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,4000,254,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,10000,837,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,50,100000,10441,None,f,❌,input/codeparrot/fizzbuzz_count/18.txt
7,7,13,78,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,79,5,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,100,5,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,4000,254,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,10000,837,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,78,100000,10441,None,f,❌,input/codeparrot/fizzbuzz_count/19.txt
7,7,13,3298,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,79,5,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,100,5,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,4000,254,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,10000,837,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,13,3298,100000,10441,None,f,❌,input/codeparrot/fizzbuzz_count/20.txt
7,7,11,50,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,4000,265,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,10000,883,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,50,100000,11031,None,f,❌,input/codeparrot/fizzbuzz_count/21.txt
7,7,11,78,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,4000,265,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,10000,883,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,78,100000,11031,None,f,❌,input/codeparrot/fizzbuzz_count/22.txt
7,7,11,3298,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,200,8,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,4000,265,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,10000,883,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,11,3298,100000,11031,None,f,❌,input/codeparrot/fizzbuzz_count/23.txt
7,7,3819,50,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,4000,173,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,10000,574,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,50,100000,7156,None,f,❌,input/codeparrot/fizzbuzz_count/24.txt
7,7,3819,78,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,4000,173,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,10000,574,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,78,100000,7156,None,f,❌,input/codeparrot/fizzbuzz_count/25.txt
7,7,3819,3298,50,1,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,78,4,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,79,4,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,200,6,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,4000,173,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,10000,574,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,7,3819,3298,100000,7156,None,f,❌,input/codeparrot/fizzbuzz_count/26.txt
7,1837,13,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,4000,95,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,10000,310,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,50,100000,3869,None,f,❌,input/codeparrot/fizzbuzz_count/27.txt
7,1837,13,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,4000,95,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,10000,310,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,78,100000,3869,None,f,❌,input/codeparrot/fizzbuzz_count/28.txt
7,1837,13,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,79,1,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,100,1,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,4000,95,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,10000,310,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,13,3298,100000,3869,None,f,❌,input/codeparrot/fizzbuzz_count/29.txt
7,1837,3819,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,200,0,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,4000,2,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,10000,4,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,50,100000,39,None,f,❌,input/codeparrot/fizzbuzz_count/33.txt
7,1837,3819,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,200,0,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,4000,2,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,10000,4,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,78,100000,39,None,f,❌,input/codeparrot/fizzbuzz_count/34.txt
7,1837,3819,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,200,0,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,4000,2,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,10000,4,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
7,1837,3819,3298,100000,39,None,f,❌,input/codeparrot/fizzbuzz_count/35.txt
4,11,13,50,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,50,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/36.txt
4,11,13,78,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,78,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/37.txt
4,11,13,3298,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,13,3298,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/38.txt
4,11,3819,50,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,4000,108,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,10000,364,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,50,100000,4557,None,f,❌,input/codeparrot/fizzbuzz_count/42.txt
4,11,3819,78,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,4000,108,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,10000,364,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,78,100000,4557,None,f,❌,input/codeparrot/fizzbuzz_count/43.txt
4,11,3819,3298,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,200,4,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,4000,108,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,10000,364,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,11,3819,3298,100000,4557,None,f,❌,input/codeparrot/fizzbuzz_count/44.txt
4,13,11,50,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,50,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/48.txt
4,13,11,78,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,78,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/49.txt
4,13,11,3298,50,2,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,78,2,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,79,2,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,100,2,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,200,5,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,4000,190,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,10000,639,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,11,3298,100000,8040,None,f,❌,input/codeparrot/fizzbuzz_count/50.txt
4,13,3819,50,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,4000,92,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,10000,306,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,50,100000,3857,None,f,❌,input/codeparrot/fizzbuzz_count/51.txt
4,13,3819,78,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,4000,92,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,10000,306,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,78,100000,3857,None,f,❌,input/codeparrot/fizzbuzz_count/52.txt
4,13,3819,3298,50,0,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,78,0,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,79,0,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,100,0,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,200,2,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,4000,92,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,10000,306,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,13,3819,3298,100000,3857,None,f,❌,input/codeparrot/fizzbuzz_count/53.txt
4,7,13,50,50,3,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,78,3,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,79,3,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,100,4,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,200,9,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,4000,252,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,10000,837,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
4,7,13,50,100000,10441,None,f,❌,input/codeparrot/fizzbuzz_count/54.txt
