inclusive,delim,example_input,input,expected,actual,result,result_emojis,model_input
True,space,1,43,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43','bhqbszuvkowkkmymcutjbkszvvjjaugmrwjrmfxwoeh',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,44,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44','jlcgfoiaqvzzyivvuzpusqxowuzgwqmgtvbmgaeghosq',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,45,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45','zguucekyjbdwiekwskvrdvdkgjfljreyeqxggfpihcrse',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,46,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46','lpmebavtuvtetjzokbjlkecrzcihchxocxflwsnhflwbzx',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,47,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47','vufobxgmablpwfzglmiiwbrljajtvwlqjunvsolcpgczhwe',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,48,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48','jdolbyguisusxsxqzrmsgiigfjeoixdovptedlauyxscgrgm',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,49,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49','rtvzsochqvxpyiddfxypjmhviefgosrkilvwnzthshkzosfut',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,50,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50','jtevdtnvkkbtcsaagmeynbuyboqzhghnnkzbjslddwwlcghhft',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,51,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51','wkwbxeuoaerewudbsjrvafjbzscqunaitzbotmuwdhszyqrwgnl',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,52,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52','bwvtakxkugcleonywmsnbjdjlqdkznfwklasutqeggimugmsrnst',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,53,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53','nefsidqosmlxaxmcuvbssdaejyvocugtzhimaznaixkcbvxyqnfzd',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,54,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54','djwbqaemxmcarmppghmalnehhrylahzhzdkdxecnhwpjjinrzawqvd',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,55,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55','jfettsekvnlgcecqpzbostifimyvobutjahyxrdglhwepzwjyakxqtx',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,56,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56','qwdmzaegexxzafdeqmcrvhzburdwqzqpstxsaiqxrpgvsersttoxrplq',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,57,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57','moshqxxhdfetjwfmfswyihvjvficepgsgyozmkctwiaqeelgqppzsevof',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,58,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58','vzvalonbpqobjfbocopsbggmnrfszuxtmyycltvgeihcabnacqyzqvcjum',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,59,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59','bkvmdyqkkhryeaasnwzdpqnwsiialsjqhhxyjgbuvwjcguwlbhffimomwzi',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,60,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60','pywljnxmsnpgosarzpdkborilqulrstqdgycbpqnlbapsnmkurnugjugnvcs',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,61,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61','lhtwuovgoxqnztxsrjzewqsmsamledmnkbybgvjoinumfxogqaelqutmpcasd',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,62,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62','tbnqdedzitxzuzwxqbiknoitmlbkwmuocxtxfrunbuydqadnhbivqfyrujwced',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,63,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63','gqidajvwhsrrnbmrgglvapljjbdrwvexxqmrjmzmnemppnmfkhlbcqkkngljuhz',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,64,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64','imgvaxplqmfjzjymylqdfkcoocgcncmhsjzdlbpjbakwpwvspzcpjuvqbbjuyhot',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,65,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65','ojzssmczardiptrwqjvilfaulpuvpkajvmtakpjlpsmxeeofzqmhayrvdscbxyged',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,66,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66','wkcwldvktpnnjjevhodhbdhuvdvaxatptwurdttkvldfozqiixhvqxvyntvpprxrli',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,67,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67','diwpdcijmvdelzsnsvzzplmgeezrmuwwrugytykigkjcbxouvqtgbsttrxzhasxokns',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,68,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68','mtbmtquioaittiovldqkkdzzktcgixmtmuhqcciroacpubxukvslxyozouaqyvynaxiw',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,69,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69','yrrssajrbqbgcersvxynsmniloiszgnlzrisagkzokgqqkedgsllgnqjlubrsqytnjvxi',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,70,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70','zxuagxlecmxrgnlzccxxxlnttdiilwcnunscxuztljcyilalkrljmiuhhhvyrxqizhapsq',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,71,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71','ehpppmqdkgfbojqhaffopwocpzzjfbymbaqjfienmmlrhbxecsqoexnufmcqhoqreobzssa',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,72,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72','botjucajknxfaryhhezgleiaggacvgsqttrjmphbxkkypnwdmeepxnwlwwzyamhcbyptqnhb',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,73,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73','yxcrvajfblcqwoaqmrxroqzalreilmldjjoqcbwuwzywyigvrchwzwblysnjcodpcsafhsdjs',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,74,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74','rucbzpzyziwhdrijuygrscdhumfrmrvqnermxbkawaeatwqnygnnujauxuhlgifebvztxdvmud',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,75,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75','wldkychhgnbloojickjbxlkyszzjgmolkcipaomivytnwowpyehzvksmmkyhpqttgcnbqbulhdn',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,76,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76','thdgydoirftuvfyqpaukbgghwjyhpvyeckvadvnmanjixoremrihiehlwwmokinwtjlfwjlbfwml',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,77,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77','wiujblwslsruzhsbugjfbiibvouimkaukejjsfmvzkqftodhuydqqlwjmbdpyzjzucbgtefkxcete',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,78,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78','gmleoblalxddbrmdfgmwmsgbkbmwglmjuwatwrdsvnnrnhuhfdicvxcczohfsiavarrssxnwhpmexf',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,79,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79','wuxabmfrhstpoxannvyxscwjdagufblcynjstalsdoexibxmyjamntoehzkmbxbzdkyyogqnlvzxgse',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,80,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80','cmexmqxagxqgcexavythnlpzgzcrhzdpxeqyoxghdynzlgnzwcumpwpitlkdtbgjyrlfmnirktwylytj',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,81,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81','ckghvflgeichetrylxyhpptazmhmlmukjpqxggdlsuecilivffgzdjtzlicztnzkijseqhplwvkrzikza',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,82,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82','hhksliovddxoriwwxmnxlcuzgmcvbbgytowwrlqqlqihegltbiuyqiztlsunvttvugcfxvpuwqqkdelmnx',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,83,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83','euxefrooonevbhfpmrkgocmzypzeplbvqopqufjpdfswcfsrhrwvnbpxluidzwlxnohslbzaycfyxztxsld',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,84,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84','ofwkuvtjllmjbblgxecxnavjznrymhwydcflyetjqmqwvbwepapawldocispquojikzqtywaaodgotzmunyp',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,85,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85','wnhysgmjlzapkisumkrxzrxpzcaltagldbfmcbwtrjqxkovrxokljyikdrkmfbincoprfynvuqvwouooayonk',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,86,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86','uhwyncpqcgsbdsugvodvjkwibovgpaddplzcskwtdhqpocqjinuakibzlgerevevfacdyecjdiyjccogzpuwin',f,❌,input/codeparrot/string_sequence/0.txt
True,space,1,87,'0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87','ohtfmuamnapxkfxtnihufceqacenpvfbluihdhhzpekdqpuxdonyxhozgofmonxomjvwapauwccoxhzgbviuakg',f,❌,input/codeparrot/string_sequence/0.txt
