count,word_count,result_emojis,result,model_input,failed_inputs,errors
5,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/10.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
5,False,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/11.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
6,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/12.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""]]",[]
6,False,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/13.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""True"", ""-1""], [""False"", ""-1""]]",[]
11,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/14.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""]]",[]
11,False,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/bitdiff/15.txt,[],"[""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable"", ""'int' object is not subscriptable""]"
15,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/16.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
15,False,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/17.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
29,True,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/18.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
29,False,❌❌❌❌❌❌❌✅❌❌❌❌❌❌,fffffffpffffff,input/codeparrot/bitdiff/19.txt,"[[""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""True"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""], [""False"", ""-1""]]",[]
