op,example_input,order,input,result,result_emojis,model_input,expected,actual
suffixes,prefix,longest_first,WWW,f,❌,input/codeparrot/suffix_prefix/18.txt,"['WWW', 'WW', 'W']",[]
suffixes,prefix,shortest_first,,p,✅,input/codeparrot/suffix_prefix/19.txt,,
suffixes,prefix,shortest_first,asdfgh,f,❌,input/codeparrot/suffix_prefix/19.txt,"['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']",['asdfgh']
suffixes,prefix,shortest_first,WWW,f,❌,input/codeparrot/suffix_prefix/19.txt,"['W', 'WW', 'WWW']",['WWW']
suffixes,reverse the result!!!,longest_first,,p,✅,input/codeparrot/suffix_prefix/20.txt,,
suffixes,reverse the result!!!,longest_first,asdfgh,f,❌,input/codeparrot/suffix_prefix/20.txt,"['asdfgh', 'sdfgh', 'dfgh', 'fgh', 'gh', 'h']",['asdfgh']
suffixes,reverse the result!!!,longest_first,WWW,f,❌,input/codeparrot/suffix_prefix/20.txt,"['WWW', 'WW', 'W']",['WWW']
suffixes,reverse the result!!!,shortest_first,,p,✅,input/codeparrot/suffix_prefix/21.txt,,
suffixes,reverse the result!!!,shortest_first,asdfgh,f,❌,input/codeparrot/suffix_prefix/21.txt,"['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']",[]
suffixes,reverse the result!!!,shortest_first,WWW,f,❌,input/codeparrot/suffix_prefix/21.txt,"['W', 'WW', 'WWW']",[]
suffixes,12345678,longest_first,,p,✅,input/codeparrot/suffix_prefix/22.txt,,
suffixes,12345678,longest_first,asdfgh,e,💀,input/codeparrot/suffix_prefix/22.txt,,
suffixes,12345678,longest_first,WWW,e,💀,input/codeparrot/suffix_prefix/22.txt,,
suffixes,12345678,shortest_first,,p,✅,input/codeparrot/suffix_prefix/23.txt,,
suffixes,12345678,shortest_first,asdfgh,f,❌,input/codeparrot/suffix_prefix/23.txt,"['h', 'gh', 'fgh', 'dfgh', 'sdfgh', 'asdfgh']",['asdfgh']
suffixes,12345678,shortest_first,WWW,f,❌,input/codeparrot/suffix_prefix/23.txt,"['W', 'WW', 'WWW']",['WWW']
