op,step,example_input,input,result,result_emojis,model_input,expected,actual
decr,2,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/16.txt,"[3, 0, 3, 0, 1, 1, 7, -2, 121]","[5, 2, 5, 2, 3, 3, 9, 123]"
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/17.txt,,
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/17.txt,"[1, 0, -1]","[3, 2]"
decr,2,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/17.txt,"[3, 0, 3, 0, 1, 1, 7, -2, 121]","[5, 2, 5, 2, 3, 3, 9, 0]"
decr,100,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/18.txt,,
decr,100,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/18.txt,"[-97, -98, -99]",[]
decr,100,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/18.txt,"[-95, -98, -95, -98, -97, -97, -91, -100, 23]",[123]
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/19.txt,,
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/19.txt,"[-97, -98, -99]",[]
decr,100,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/19.txt,"[-95, -98, -95, -98, -97, -97, -91, -100, 23]",[123]
decr,9999,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/20.txt,,
decr,9999,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/20.txt,"[-9996, -9997, -9998]","[3, 2, 1]"
decr,9999,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/20.txt,"[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]","[5, 2, 5, 2, 3, 3, 9, 0, 123]"
decr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/21.txt,,
decr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/21.txt,"[-9996, -9997, -9998]","[3, 2, 1]"
decr,9999,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/21.txt,"[-9994, -9997, -9994, -9997, -9996, -9996, -9990, -9999, -9876]","[5, 2, 5, 2, 3, 3, 9, 0, 123]"
decr,3829893478785784890248,"[1, 2, 3]",[[]],p,✅,input/codeparrot/incr_list/22.txt,,
decr,3829893478785784890248,"[1, 2, 3]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/22.txt,"[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]","[3, 2, 1]"
decr,3829893478785784890248,"[1, 2, 3]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/22.txt,"[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]","[5, 2, 5, 2, 3, 3, 9, 123]"
decr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]",[[]],p,✅,input/codeparrot/incr_list/23.txt,,
decr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[3, 2, 1]]",f,❌,input/codeparrot/incr_list/23.txt,"[-3829893478785784890245, -3829893478785784890246, -3829893478785784890247]","[3, 2, 1]"
decr,3829893478785784890248,"[5, 3, 5, 2, 3, 3, 9, 0, 123]","[[5, 2, 5, 2, 3, 3, 9, 0, 123]]",f,❌,input/codeparrot/incr_list/23.txt,"[-3829893478785784890243, -3829893478785784890246, -3829893478785784890243, -3829893478785784890246, -3829893478785784890245, -3829893478785784890245, -3829893478785784890239, -3829893478785784890248, -3829893478785784890125]","[5, 2, 5, 2, 3, 3, 9, 0, 123]"
