small_ret,large_ret,default_ret,small_limit,large_limit,input,expected,actual,result,result_emojis,model_input
small,large,,2,2000,-100,,,p,✅,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,-1,,,p,✅,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,0,,,p,✅,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/7.txt
small,large,,2,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/7.txt
small,large,,10,15,-100,,,p,✅,input/codeparrot/small_or_large/10.txt
small,large,,10,15,-1,,,p,✅,input/codeparrot/small_or_large/10.txt
small,large,,10,15,0,,,p,✅,input/codeparrot/small_or_large/10.txt
small,large,,10,15,10,None,'large',f,❌,input/codeparrot/small_or_large/10.txt
small,large,,10,15,100,'large',None,f,❌,input/codeparrot/small_or_large/10.txt
small,large,,10,15,1000,'large',None,f,❌,input/codeparrot/small_or_large/10.txt
small,large,,10,15,2000,'large',None,f,❌,input/codeparrot/small_or_large/10.txt
small,large,,10,15,1000000,'large',None,f,❌,input/codeparrot/small_or_large/10.txt
small,large,,10,2000,-100,,,p,✅,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,-1,,,p,✅,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,0,,,p,✅,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/11.txt
small,large,,10,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/11.txt
small,large,,1000,2000,-100,,,p,✅,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,-1,,,p,✅,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,0,,,p,✅,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,10,,,p,✅,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,100,,,p,✅,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/15.txt
small,large,,1000,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/15.txt
small,large,None,-100,-1,-100,'None','small',f,❌,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,-1,'large','small',f,❌,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,0,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,10,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,100,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,1000,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,2000,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,-1,1000000,,,p,✅,input/codeparrot/small_or_large/16.txt
small,large,None,-100,2,-100,'None','large',f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,-1,'None','large',f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,0,'None','large',f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,10,'large',None,f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,100,'large',None,f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,1000,'large',None,f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,2000,'large',None,f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,2,1000000,'large',None,f,❌,input/codeparrot/small_or_large/17.txt
small,large,None,-100,15,-100,'None','large',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,-1,'None','large',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,0,'None','large',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,10,'None','large',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,100,'large','small',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,1000,'large','small',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,2000,'large','small',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,15,1000000,'large','small',f,❌,input/codeparrot/small_or_large/18.txt
small,large,None,-100,2000,-100,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,-1,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,0,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,10,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,100,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,1000,'None','large',f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,-100,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/19.txt
small,large,None,2,15,-100,,,p,✅,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,-1,,,p,✅,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,0,,,p,✅,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,10,'None','large',f,❌,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,100,'large',None,f,❌,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,1000,'large',None,f,❌,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,2000,'large',None,f,❌,input/codeparrot/small_or_large/22.txt
small,large,None,2,15,1000000,'large',None,f,❌,input/codeparrot/small_or_large/22.txt
small,large,None,2,2000,-100,,,p,✅,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,-1,,,p,✅,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,0,,,p,✅,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,10,'None','large',f,❌,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,100,'None','large',f,❌,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,1000,'None','large',f,❌,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/23.txt
small,large,None,2,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/23.txt
small,large,None,10,15,-100,,,p,✅,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,-1,,,p,✅,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,0,,,p,✅,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,10,'None','large',f,❌,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,100,'large',None,f,❌,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,1000,'large',None,f,❌,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,2000,'large',None,f,❌,input/codeparrot/small_or_large/26.txt
small,large,None,10,15,1000000,'large',None,f,❌,input/codeparrot/small_or_large/26.txt
small,large,None,10,2000,-100,,,p,✅,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,-1,,,p,✅,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,0,,,p,✅,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,10,'None','large',f,❌,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,100,'None','large',f,❌,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,1000,'None','large',f,❌,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/27.txt
small,large,None,10,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/27.txt
small,large,None,1000,2000,-100,,,p,✅,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,-1,,,p,✅,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,0,,,p,✅,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,10,,,p,✅,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,100,,,p,✅,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,1000,'None','large',f,❌,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,2000,'large',None,f,❌,input/codeparrot/small_or_large/31.txt
small,large,None,1000,2000,1000000,'large',None,f,❌,input/codeparrot/small_or_large/31.txt
small,large,neither,-100,-1,-100,'neither','large',f,❌,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,-1,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,0,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,10,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,100,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,1000,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,2000,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,-1,1000000,,,p,✅,input/codeparrot/small_or_large/32.txt
small,large,neither,-100,2,-100,'neither','large',f,❌,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,-1,'neither','large',f,❌,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,0,'neither','large',f,❌,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,10,,,p,✅,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,100,,,p,✅,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,1000,,,p,✅,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,2000,,,p,✅,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,2,1000000,,,p,✅,input/codeparrot/small_or_large/33.txt
small,large,neither,-100,15,-100,'neither','large',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,-1,'neither','large',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,0,'neither','large',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,10,'neither','large',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,100,'large','small',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,1000,'large','small',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,2000,'large','small',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,15,1000000,'large','small',f,❌,input/codeparrot/small_or_large/34.txt
small,large,neither,-100,2000,-100,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,-1,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,0,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,10,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,100,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,1000,'neither','large',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,2000,'large','small',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,-100,2000,1000000,'large','small',f,❌,input/codeparrot/small_or_large/35.txt
small,large,neither,2,15,-100,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,-1,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,0,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,10,'neither','large',f,❌,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,100,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,1000,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,2000,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,15,1000000,,,p,✅,input/codeparrot/small_or_large/38.txt
small,large,neither,2,2000,-100,,,p,✅,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,-1,,,p,✅,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,0,,,p,✅,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,10,'neither','large',f,❌,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,100,'neither','large',f,❌,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,1000,'neither','large',f,❌,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,2000,,,p,✅,input/codeparrot/small_or_large/39.txt
small,large,neither,2,2000,1000000,,,p,✅,input/codeparrot/small_or_large/39.txt
small,large,neither,10,15,-100,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,-1,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,0,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,10,'neither','large',f,❌,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,100,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,1000,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,2000,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,15,1000000,,,p,✅,input/codeparrot/small_or_large/42.txt
small,large,neither,10,2000,-100,,,p,✅,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,-1,,,p,✅,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,0,,,p,✅,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,10,'neither','large',f,❌,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,100,'neither','large',f,❌,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,1000,'neither','large',f,❌,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,2000,,,p,✅,input/codeparrot/small_or_large/43.txt
small,large,neither,10,2000,1000000,,,p,✅,input/codeparrot/small_or_large/43.txt
small,large,neither,1000,2000,-100,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,-1,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,0,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,10,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,100,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,1000,'neither','large',f,❌,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,2000,,,p,✅,input/codeparrot/small_or_large/47.txt
small,large,neither,1000,2000,1000000,,,p,✅,input/codeparrot/small_or_large/47.txt
small,house,,-100,-1,-100,None,'large',f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,-1,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,0,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,10,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,100,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,1000,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,2000,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,-1,1000000,'house',None,f,❌,input/codeparrot/small_or_large/96.txt
small,house,,-100,2,-100,None,'large',f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,-1,None,'large',f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,0,None,'large',f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,10,'house',None,f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,100,'house',None,f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,1000,'house',None,f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,2000,'house',None,f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,2,1000000,'house',None,f,❌,input/codeparrot/small_or_large/97.txt
small,house,,-100,15,-100,None,'small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,-1,None,'small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,0,None,'small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,10,None,'small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,100,'house','small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,1000,'house','small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,2000,'house','small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,15,1000000,'house','small',f,❌,input/codeparrot/small_or_large/98.txt
small,house,,-100,2000,-100,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,-1,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,0,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,2000,'house',None,f,❌,input/codeparrot/small_or_large/99.txt
small,house,,-100,2000,1000000,'house',None,f,❌,input/codeparrot/small_or_large/99.txt
small,house,,2,15,-100,,,p,✅,input/codeparrot/small_or_large/102.txt
small,house,,2,15,-1,,,p,✅,input/codeparrot/small_or_large/102.txt
small,house,,2,15,0,,,p,✅,input/codeparrot/small_or_large/102.txt
small,house,,2,15,10,None,'large',f,❌,input/codeparrot/small_or_large/102.txt
small,house,,2,15,100,'house',None,f,❌,input/codeparrot/small_or_large/102.txt
small,house,,2,15,1000,'house',None,f,❌,input/codeparrot/small_or_large/102.txt
small,house,,2,15,2000,'house',None,f,❌,input/codeparrot/small_or_large/102.txt
small,house,,2,15,1000000,'house',None,f,❌,input/codeparrot/small_or_large/102.txt
small,house,,2,2000,-100,,,p,✅,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,-1,,,p,✅,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,0,,,p,✅,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,2000,'house',None,f,❌,input/codeparrot/small_or_large/103.txt
small,house,,2,2000,1000000,'house',None,f,❌,input/codeparrot/small_or_large/103.txt
small,house,,10,15,-100,,,p,✅,input/codeparrot/small_or_large/106.txt
small,house,,10,15,-1,,,p,✅,input/codeparrot/small_or_large/106.txt
small,house,,10,15,0,,,p,✅,input/codeparrot/small_or_large/106.txt
small,house,,10,15,10,None,'large',f,❌,input/codeparrot/small_or_large/106.txt
small,house,,10,15,100,'house',None,f,❌,input/codeparrot/small_or_large/106.txt
small,house,,10,15,1000,'house',None,f,❌,input/codeparrot/small_or_large/106.txt
small,house,,10,15,2000,'house',None,f,❌,input/codeparrot/small_or_large/106.txt
small,house,,10,15,1000000,'house',None,f,❌,input/codeparrot/small_or_large/106.txt
small,house,,10,2000,-100,,,p,✅,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,-1,,,p,✅,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,0,,,p,✅,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,10,None,'large',f,❌,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,100,None,'large',f,❌,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,2000,'house',None,f,❌,input/codeparrot/small_or_large/107.txt
small,house,,10,2000,1000000,'house',None,f,❌,input/codeparrot/small_or_large/107.txt
small,house,,1000,2000,-100,,,p,✅,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,-1,,,p,✅,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,0,,,p,✅,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,10,,,p,✅,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,100,,,p,✅,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,1000,None,'large',f,❌,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,2000,'house',None,f,❌,input/codeparrot/small_or_large/111.txt
small,house,,1000,2000,1000000,'house',None,f,❌,input/codeparrot/small_or_large/111.txt
small,house,None,-100,-1,-100,'None','large',f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,-1,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,0,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,10,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,100,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,1000,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,2000,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,-1,1000000,'house',None,f,❌,input/codeparrot/small_or_large/112.txt
small,house,None,-100,2,-100,'None','large',f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,-1,'None','large',f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,0,'None','large',f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,10,'house',None,f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,100,'house',None,f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,1000,'house',None,f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,2000,'house',None,f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,2,1000000,'house',None,f,❌,input/codeparrot/small_or_large/113.txt
small,house,None,-100,15,-100,'None','small',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,-1,'None','small',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,0,'None','small',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,10,'None','small',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,100,'house','large',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,1000,'house','large',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,2000,'house','large',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,15,1000000,'house','large',f,❌,input/codeparrot/small_or_large/114.txt
small,house,None,-100,2000,-100,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,-1,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,0,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,10,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,100,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,1000,'None','large',f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,2000,'house',None,f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,-100,2000,1000000,'house',None,f,❌,input/codeparrot/small_or_large/115.txt
small,house,None,2,15,-100,,,p,✅,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,-1,,,p,✅,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,0,,,p,✅,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,10,'None','large',f,❌,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,100,'house',None,f,❌,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,1000,'house',None,f,❌,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,2000,'house',None,f,❌,input/codeparrot/small_or_large/118.txt
small,house,None,2,15,1000000,'house',None,f,❌,input/codeparrot/small_or_large/118.txt
small,house,None,2,2000,-100,,,p,✅,input/codeparrot/small_or_large/119.txt
small,house,None,2,2000,-1,,,p,✅,input/codeparrot/small_or_large/119.txt
small,house,None,2,2000,0,,,p,✅,input/codeparrot/small_or_large/119.txt
small,house,None,2,2000,10,'None','large',f,❌,input/codeparrot/small_or_large/119.txt
small,house,None,2,2000,100,'None','large',f,❌,input/codeparrot/small_or_large/119.txt
