pos_ret,neg_ret,sep,case,result_emojis,result,model_input,failed_inputs,errors
True,False,a dash,uppercase,❌❌❌❌❌❌❌❌❌❌✅❌❌❌,ffffffffffpfff,input/codeparrot/joined_seq/24.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""False"", ""True""]]",[]
True,False,a dash,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/25.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,a question mark,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/26.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
True,False,a question mark,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/27.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
False,True,an underscore,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/28.txt,"[[""True"", ""False""], [""False"", ""'AAB CBBC'""], [""True"", ""False""], [""True"", ""'AAB  CBBC'""], [""True"", ""False""], [""True"", ""'AAB      CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""], [""True"", ""False""], [""True"", ""'AAB+CBBC'""], [""True"", ""False""], [""True"", ""'AAB-CBBC'""], [""True"", ""False""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,an underscore,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/29.txt,"[[""False"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""], [""True"", ""'aabcbbbc'""], [""True"", ""''""]]",[]
False,True,two underscores,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/30.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""False"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,two underscores,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/31.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""False"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,six underscores,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/32.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""False"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,six underscores,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/33.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
False,True,a minus,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/34.txt,"[[""True"", ""'AAB_CBBBC'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'AAB__CBBBC'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'AAB______CBBBC'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'AAB+CBBBC'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'AAB-CBBBC'""], [""False"", ""'AAB-CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,a minus,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/35.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
False,True,a plus,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/36.txt,"[[""True"", ""'AAB_CBBBC'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'AAB__CBBBC'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'AAB______CBBBC'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'AAB+CBBBC'""], [""False"", ""'AAB+CBBC'""], [""True"", ""'AAB-CBBBC'""], [""True"", ""'AAB-CBBC'""], [""True"", ""'AAB?CBBBC'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,a plus,lowercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/37.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
False,True,a dash,uppercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/38.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aabcbbbc'""], [""False"", ""'AABCBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,a dash,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/39.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""False"", ""'aabcbbbc'""], [""True"", ""'AABCBBC'""], [""True"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
False,True,a question mark,uppercase,💀💀💀💀💀💀💀💀💀💀💀💀💀💀,eeeeeeeeeeeeee,input/codeparrot/joined_seq/40.txt,[],"[""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined"", ""name 'string' is not defined""]"
False,True,a question mark,lowercase,❌❌❌❌❌❌❌❌❌❌❌❌❌❌,ffffffffffffff,input/codeparrot/joined_seq/41.txt,"[[""True"", ""'aab_cbbbc'""], [""True"", ""'AAB_CBBC'""], [""True"", ""'aab__cbbbc'""], [""True"", ""'AAB__CBBC'""], [""True"", ""'aab______cbbbc'""], [""True"", ""'AAB______CBBC'""], [""False"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""], [""True"", ""'aab+cbbbc'""], [""True"", ""'AAB+CBBC'""], [""True"", ""'aab-cbbbc'""], [""True"", ""'AAB-CBBC'""], [""False"", ""'aab?cbbbc'""], [""True"", ""'AAB?CBBC'""]]",[]
