sum_num,count,example_input,result_emojis,result,model_input,failed_inputs,errors
1,3,[1],✅❌✅❌❌✅✅✅✅,pfpffpppp,input/codeparrot/n_sum_to/31.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
1,4,"[1, 3, 5, 0]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/32.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,4,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/33.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,4,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/34.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,4,[1],✅✅✅❌✅❌❌✅✅,pppfpffpp,input/codeparrot/n_sum_to/35.txt,"[[""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
1,5,"[1, 3, 5, 0]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/36.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,5,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/37.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,5,"[1, 2, -3, 7, 2, 7]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/38.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,5,[1],✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/39.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
1,8,"[1, 3, 5, 0]",✅✅❌✅❌✅❌✅❌,ppfpfpfpf,input/codeparrot/n_sum_to/40.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
1,8,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/41.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
1,8,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/42.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
1,8,[1],✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/43.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
1,10,"[1, 3, 5, 0]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/44.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
1,10,"[1, 3, -2, 1, 5, 8]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/45.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
1,10,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/46.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
1,10,[1],✅❌❌✅✅✅❌❌✅,pffpppffp,input/codeparrot/n_sum_to/47.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
2,2,"[1, 3, 5, 0]",✅❌✅✅❌✅❌✅❌,pfppfpfpf,input/codeparrot/n_sum_to/48.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
2,2,"[1, 3, -2, 1, 5, 8]",✅❌✅✅❌✅❌✅❌,pfppfpfpf,input/codeparrot/n_sum_to/49.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
2,2,"[1, 2, -3, 7, 2, 7]",✅❌✅✅❌✅❌✅❌,pfppfpfpf,input/codeparrot/n_sum_to/50.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
2,2,[1],✅❌💀✅❌✅❌✅❌,pfepfpfpf,input/codeparrot/n_sum_to/51.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
2,3,"[1, 3, 5, 0]",✅❌✅💀❌✅❌✅✅,pfpefpfpp,input/codeparrot/n_sum_to/52.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
2,3,"[1, 3, -2, 1, 5, 8]",✅❌✅✅❌✅❌✅✅,pfppfpfpp,input/codeparrot/n_sum_to/53.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
2,3,"[1, 2, -3, 7, 2, 7]",✅❌✅💀❌✅❌✅✅,pfpefpfpp,input/codeparrot/n_sum_to/54.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
2,3,[1],✅❌✅💀❌✅❌✅✅,pfpefpfpp,input/codeparrot/n_sum_to/55.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
2,4,"[1, 3, 5, 0]",✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/56.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
2,4,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/57.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
2,4,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/58.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
2,4,[1],💀✅✅✅✅❌❌✅✅,eppppffpp,input/codeparrot/n_sum_to/59.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
2,5,"[1, 3, 5, 0]",❌❌❌❌❌❌❌✅✅,fffffffpp,input/codeparrot/n_sum_to/60.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
2,5,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/61.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
2,5,"[1, 2, -3, 7, 2, 7]",❌❌❌❌❌❌❌✅✅,fffffffpp,input/codeparrot/n_sum_to/62.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
2,5,[1],❌❌❌❌❌❌❌✅✅,fffffffpp,input/codeparrot/n_sum_to/63.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""]]",[]
2,8,"[1, 3, 5, 0]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/64.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,8,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/65.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,8,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/66.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,8,[1],✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/67.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,10,"[1, 3, 5, 0]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/68.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,10,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/69.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,10,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/70.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
2,10,[1],✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/71.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,2,"[1, 3, 5, 0]",❌✅✅✅❌❌❌✅❌,fpppfffpf,input/codeparrot/n_sum_to/72.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
3,2,"[1, 3, -2, 1, 5, 8]",❌✅✅✅❌❌❌✅❌,fpppfffpf,input/codeparrot/n_sum_to/73.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
3,2,"[1, 2, -3, 7, 2, 7]",❌✅✅✅❌❌❌✅❌,fpppfffpf,input/codeparrot/n_sum_to/74.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
3,2,[1],💀💀💀💀💀💀💀💀💀,eeeeeeeee,input/codeparrot/n_sum_to/75.txt,[],"[""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()"", ""object of type 'int' has no len()""]"
3,3,"[1, 3, 5, 0]",✅✅✅💀✅✅❌✅❌,pppeppfpf,input/codeparrot/n_sum_to/76.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""cannot unpack non-iterable int object""]"
3,3,"[1, 3, -2, 1, 5, 8]",✅✅✅✅✅✅❌✅❌,ppppppfpf,input/codeparrot/n_sum_to/77.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
3,3,"[1, 2, -3, 7, 2, 7]",✅✅✅💀✅✅❌✅❌,pppeppfpf,input/codeparrot/n_sum_to/78.txt,"[[""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
3,3,[1],✅✅✅✅✅✅❌✅❌,ppppppfpf,input/codeparrot/n_sum_to/79.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
3,4,"[1, 3, 5, 0]",💀💀💀💀💀💀💀💀💀,eeeeeeeee,input/codeparrot/n_sum_to/80.txt,[],"[""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable"", ""'int' object is not iterable""]"
3,4,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/81.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,4,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/82.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,4,[1],✅✅✅✅✅❌❌✅✅,pppppffpp,input/codeparrot/n_sum_to/83.txt,"[[""True"", ""False""], [""True"", ""False""]]",[]
3,5,"[1, 3, 5, 0]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/84.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,5,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/85.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,5,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/86.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,5,[1],✅❌❌✅❌❌✅❌✅,pffpffpfp,input/codeparrot/n_sum_to/87.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""]]",[]
3,8,"[1, 3, 5, 0]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/88.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,8,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/89.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,8,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/90.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,8,[1],✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/91.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,10,"[1, 3, 5, 0]",✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/92.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
3,10,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌❌,pffpfppff,input/codeparrot/n_sum_to/93.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""]]",[]
3,10,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/94.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
3,10,[1],✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/95.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,2,"[1, 3, 5, 0]",❌❌✅✅❌❌❌✅✅,ffppfffpp,input/codeparrot/n_sum_to/96.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,2,"[1, 3, -2, 1, 5, 8]",❌❌❌✅❌❌❌✅✅,fffpfffpp,input/codeparrot/n_sum_to/97.txt,"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,2,"[1, 2, -3, 7, 2, 7]",❌❌❌✅❌❌❌✅✅,fffpfffpp,input/codeparrot/n_sum_to/98.txt,"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,2,[1],❌❌❌✅❌❌❌✅✅,fffpfffpp,input/codeparrot/n_sum_to/99.txt,"[[""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,3,"[1, 3, 5, 0]",✅❌✅✅❌✅❌✅❌,pfppfpfpf,input/codeparrot/n_sum_to/100.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,3,"[1, 3, -2, 1, 5, 8]",✅❌✅💀❌✅❌✅❌,pfpefpfpf,input/codeparrot/n_sum_to/101.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""'int' object is not iterable""]"
5,3,"[1, 2, -3, 7, 2, 7]",✅❌✅💀❌✅❌✅❌,pfpefpfpf,input/codeparrot/n_sum_to/102.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]","[""cannot unpack non-iterable int object""]"
5,3,[1],✅❌✅✅❌✅❌✅❌,pfppfpfpf,input/codeparrot/n_sum_to/103.txt,"[[""True"", ""False""], [""True"", ""False""], [""True"", ""False""], [""True"", ""False""]]",[]
5,4,"[1, 3, 5, 0]",✅❌❌✅✅❌✅❌❌,pffppfpff,input/codeparrot/n_sum_to/104.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,4,"[1, 3, -2, 1, 5, 8]",✅❌❌✅✅❌✅❌❌,pffppfpff,input/codeparrot/n_sum_to/105.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,4,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅❌✅❌❌,pffppfpff,input/codeparrot/n_sum_to/106.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,4,[1],✅❌❌✅✅❌✅❌❌,pffppfpff,input/codeparrot/n_sum_to/107.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,5,"[1, 3, 5, 0]",✅❌❌✅✅❌❌❌❌,pffppffff,input/codeparrot/n_sum_to/108.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,5,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌❌✅❌❌,pffpffpff,input/codeparrot/n_sum_to/109.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,5,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅❌❌❌❌,pffppffff,input/codeparrot/n_sum_to/110.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,5,[1],✅❌❌✅✅❌❌❌❌,pffppffff,input/codeparrot/n_sum_to/111.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,8,"[1, 3, 5, 0]",✅❌❌✅❌✅✅❌✅,pffpfppfp,input/codeparrot/n_sum_to/112.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
5,8,"[1, 3, -2, 1, 5, 8]",✅❌❌✅❌✅✅❌✅,pffpfppfp,input/codeparrot/n_sum_to/113.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
5,8,"[1, 2, -3, 7, 2, 7]",✅❌❌✅❌✅✅❌✅,pffpfppfp,input/codeparrot/n_sum_to/114.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
5,8,[1],✅❌❌✅❌✅✅❌✅,pffpfppfp,input/codeparrot/n_sum_to/115.txt,"[[""False"", ""True""], [""False"", ""True""], [""False"", ""True""], [""False"", ""True""]]",[]
5,10,"[1, 3, 5, 0]",✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/116.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,10,"[1, 3, -2, 1, 5, 8]",✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/117.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,10,"[1, 2, -3, 7, 2, 7]",✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/118.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
5,10,[1],✅❌❌✅✅✅❌❌❌,pffpppfff,input/codeparrot/n_sum_to/119.txt,"[[""False"", ""True""], [""False"", ""True""], [""True"", ""False""], [""False"", ""True""], [""True"", ""False""]]",[]
